CFDA number,CFDA Program Title,Failed Metric,CFDA Program Obligation,USASpending Obligation
10.678,Forest Stewardship Program,consistency,27000000.00,8306869.00
10.684,International Forestry Programs,completeness,4035519.00
10.685,Community Wood Energy Program,consistency,5000000.00,
10.686,Forest Biomass for Energy,consistency,15000000.00,
10.690,Lake Tahoe Erosion Control Grant Program,timeliness,10000000.00
10.759,Part 1774  Special Evaluation Assistance for Rural Communities and Households Program (SEARCH),consistency,5000000.00,
10.766,Community Facilities Loans and Grants,completeness,59065754.00
10.769,Rural Business Enterprise Grants,completeness,40200000.00
10.773,Rural Business Opportunity Grants,consistency,2634600.00,5627905.00
10.780,Community Facilities Loans and Grants,consistency,31117651.00,
10.781,Water and Waste Disposal Systems for Rural Communities - ARRA,timeliness,554556697.00
10.783,Rural Business Enterprise Grants - ARRA,consistency,38227000.00,15314425.00
10.855,Distance Learning and Telemedicine Loans and Grants,timeliness,36287654.00
10.858,Denali Commmission Grants and Loans,timeliness,8500000.00
10.861,Public Television Station Digital Transition Grant Program,timeliness,5086460.00
10.863,Community Connect Grant Program,timeliness,13385526.00
10.916,Watershed Rehabilitation Program,timeliness,25548064.00
10.961,Scientific Cooperation and Research,consistency,300000.00,
10.054,Emergency Conservation Program,consistency,153044356.00,54979311.00
10.055,Direct and Counter-cyclical Payments Program,consistency,5953412000.00,856910675.00
10.069,Conservation Reserve Program,consistency,1855274000.00,134131211.00
10.448,Rural Development Multi-Family Housing Rural Housing Voucher Demonstration Program,consistency,6400000.00,
10.551,Supplemental Nutrition Assistance Program,consistency,53931355000.00,4335897799.00
10.566,Nutrition Assistance For Puerto Rico,consistency,1677000000.00,300121786.00
10.682,National Forest Foundation,completeness,3000000.00
10.683,National Fish and Wildlife Foundation,consistency,3000000.00,4900000.00
10.912,Environmental Quality Incentives Program,consistency,757388939.00,260483936.00
10.914,Wildlife Habitat Incentive Program,consistency,52146044.00,19675165.00
10.917,Agricultural Management Assistance,consistency,6181443.00,2903642.00
10.920,Grassland Reserve Program,consistency,41042508.00,5078222.00
10.921,Conservation Security Program ,consistency,246120977.00,58961232.00
10.088,Livestock Indemnity Program,consistency,292200.00,3876206.00
10.089,Livestock Forage Disaster Program,consistency,0.00,33589.00
10.091,"Emergency Assistance for Livestock, Honeybees, and Farm-Raised Fish Program",consistency,50000000.00,
10.694,Southwest Forest Health and Wildfire Prevention,consistency,2600000.00,
10.777,Norman E. Borlaug International Agricultural Science and Technology Fellowship,consistency,1647615.00,
10.051,Commodity Loans and Loan Deficiency Payments,consistency,145497000.00,12782790.00
10.053,Dairy Indemnity Program,timeliness,650788.00
10.451,Noninsured Assistance,consistency,62064000.00,
11.407,Interjurisdictional Fisheries Act of 1986,timeliness,2500000.00
11.419,Coastal Zone Management Administration Awards,timeliness,85476767.00
11.009,TV Converter Box Coupon Program Consumer Education and Technical Assistance,consistency,2500000.00,
11.307,Economic Adjustment Assistance,consistency,185849918.00,389242018.00
11.313,Trade Adjustment Assistance for Firms,timeliness,15800000.00
11.400,Geodetic Surveys and Services (Geodesy and Applications of the National Geodetic Reference System),timeliness,14435000.00
11.420,Coastal Zone Management Estuarine Research Reserves,timeliness,28542977.00
11.426,Financial Assistance for National Centers for Coastal Ocean Science,consistency,3787710.00,6983714.00
11.427,Fisheries Development and Utilization Research and Development Grants and Cooperative Agreements Program,timeliness,7891800.00
11.429,Marine Sanctuary Program,timeliness,8551500.00
11.430,Undersea Research,consistency,8000000.00,14338863.00
11.431,Climate and Atmospheric Research,consistency,35000000.00,59813496.00
11.433,Marine Fisheries Initiative,timeliness,2200000.00
11.434,Cooperative Fishery Statistics,consistency,6600000.00,1738150.00
11.436,Columbia River Fisheries Development Program,timeliness,14000000.00
11.437,Pacific Fisheries Data Program,consistency,0.00,19625968.00
11.438,Pacific Coast Salmon Recovery_Pacific Salmon Treaty Program,timeliness,80000000.00
11.439,Marine Mammal Data Program,consistency,0.00,13991527.00
11.440,"Environmental Sciences, Applications, Data, and Education",timeliness,23000000.00
11.441,Regional Fishery Management Councils,timeliness,27000000.00
11.444,Hawaii Sustainable Fisheries Development (Aquaculture Program),timeliness,750000.00
11.452,Unallied Industry Projects,consistency,0.00,91058705.00
11.455,Cooperative Science and Education Program,consistency,0.00,806426.00
11.457,Chesapeake Bay Studies,consistency,0.00,11073994.00
11.460,Special Oceanic and Atmospheric Projects,consistency,0.00,16961685.00
11.463,Habitat Conservation,timeliness,218291552.00
11.467,Meteorologic and Hydrologic Modernization Development,timeliness,14939054.00
11.472,Unallied Science Program,consistency,0.00,32230303.00
11.474,Atlantic Coastal Fisheries Cooperative Management Act,timeliness,7195300.00
11.481,Educational Partnership Program,timeliness,14900000.00
11.553,Special Projects,consistency,5589.00,6893759.00
11.558,State Broadband Data and Development Grant Program,consistency,325000.00,
11.559,Low-Power Television and Translator Upgrade Program,consistency,652000.00,
11.609,Measurement and Engineering Research and Standards,consistency,118048000.00,44543871.00
11.556,TV Converter Box Coupon Program,consistency,471870000.00,
11.408,Fishermen's Contingency Fund,consistency,230000.00,
12.558,"Department of Defense Impact Aid (Supplement, CWSD, BRAC)",consistency,44000000.00,
12.117,"ARRA Cooperative Agreements, New Mexico",consistency,571610.00,
12.118,North Dakota Environmental Infrastructure (Section 594) - ARRA,consistency,17398000.00,
12.119,Northern Wisconsin Environmental Infrastructure (Section 154) - ARRA,consistency,1280000.00,
12.120,Northeastern Minnesota  Environmental Infrastructure (Section 569) - ARRA,consistency,2655000.00,
12.121,"Montana, Nevada, New Mexico, Utah, Idaho, & Wyoming Environmental Infrastructure (Section 595) - ARRA",consistency,40186000.00,
12.122,"Title VI - Cheyenne River Sioux Tribe, Lower Brule Sioux Tribe, and Terrestrial Wildlife Habitat Restoration, South Dakota - ARRA",consistency,2129000.00,
12.123,South Central Pennsylvania Envrionmental Infrastructure (Section 313) - ARRA,consistency,6550000.00,
12.124,Mississippi Environmental Infrastructure (Section 592) - ARRA,consistency,6568733.00,
12.400,"Military Construction, National Guard",consistency,134500000.00,351696719.00
12.556,Competitive Grants: Promoting K-12 Student Achievement at Military-Connected Schools,consistency,41300000.00,
12.557,Invitational Grants for Military-Connected Schools,consistency,14500000.00,
12.599,Congressionally Directed Assistance,timeliness,75000000.00
12.615,RESEARCH AND TECHNICAL ASSISTANCE,consistency,1735619.00,743050.00
12.630,"Basic, Applied, and Advanced Research in Science and Engineering",consistency,35616000.00,156035870.00
12.631,"Science, Technology, Engineering and Mathematics (STEM) Educational Program: Science, Mathematics And Research for Transformation (SMART)",completeness,32625000.00
12.600,Community Economic Adjustment ,consistency,0.00,6026314.00
84.002,Adult Education - Basic Grants to States,consistency,55581045.00,561935618.00
84.010,Title I Grants to Local Educational Agencies,consistency,492401000.00,14337402059.00
84.011,Migrant Education_State Grant Program,timeliness,394771000.00
84.013,Title I State Agency Program for Neglected and Delinquent Children,timeliness,48927040.00
84.027,Special Education_Grants to States,timeliness,11505211000.00
84.041,Impact Aid,timeliness,1260854000.00
84.048,Career and Technical Education -- Basic Grants to States,timeliness,1141988000.00
84.060,Indian Education_Grants to Local Educational Agencies,timeliness,99331000.00
84.069,Leveraging Educational Assistance Partnership,timeliness,63852000.00
84.126,Rehabilitation Services_Vocational Rehabilitation Grants to States,timeliness,2938522000.00
84.161,Rehabilitation Services_Client Assistance Program,timeliness,11576000.00
84.169,Independent Living_State Grants,timeliness,23215500.00
84.173,Special Education_Preschool Grants,timeliness,374099000.00
84.177,Rehabilitation Services_Independent Living Services for Older Individuals Who are Blind,timeliness,33809490.00
84.181,Special Education-Grants for Infants and Families,timeliness,439427000.00
84.186,Safe and Drug-Free Schools and Communities_State Grants,timeliness,294759000.00
84.196,Education for Homeless Children and Youth,timeliness,65427000.00
84.213,Even Start_State Educational Agencies,timeliness,66454000.00
84.224,Assistive Technology,timeliness,25660000.00
84.240,Program of Protection and Advocacy of Individual Rights,timeliness,17101000.00
84.287,Twenty-First Century Community Learning Centers,timeliness,1131166000.00
84.318,Educational Technology State Grants,timeliness,269872000.00
84.331,Grants to States for Workplace and Community Transition Training for Incarcerated Individuals,timeliness,17186000.00
84.332,Comprehensive School Reform Demonstration,consistency,1605000.00,
84.343,Assistive Technology_State Grants for Protection and Advocacy,timeliness,4300000.00
84.357,Reading First State Grants,consistency,0.00,1182369.00
84.358,Rural Education,timeliness,173382000.00
84.365,English Language Acquisition Grants,timeliness,673900000.00
84.367,Improving Teacher Quality State Grants,timeliness,2947749000.00
84.369,Grants for State Assessments and Related Activities,timeliness,408732000.00
84.377,School Improvement Grants,consistency,545633000.00,59512437.00
84.383,Homeless Education Disaster Assistance Program,timeliness,15000000.00
84.386,"Education Technology State Grants, Recovery Act",timeliness,650000000.00
84.387,"Education for Homeless Children and Youth, Recovery Act",timeliness,70000000.00
84.388,"School Improvement Grants, Recovery Act",consistency,3000000000.00,
84.389,"Title I Grants to Local Educational Agencies, Recovery Act",timeliness,10000000000.00
84.390,"Rehabilitation Services-Vocational Rehabilitation Grants to States, Recovery Act ",timeliness,540000000.00
84.391,"Special Education Grants to States, Recovery Act",timeliness,11300000000.00
84.392,"Special Education - Preschool Grants, Recovery Act ",timeliness,400000000.00
84.393,"Special Education - Grants for Infants and Families, Recovery Act",timeliness,500000000.00
84.394,"State Fiscal Stabilization Fund (SFSF) -  Education State Grants, Recovery Act",timeliness,39743348000.00
84.397,"State Fiscal Stabilization Fund (SFSF) - Government Services, Recovery Act",timeliness,8842652000.00
84.398,"Independent Living State Grants, Recovery Act ",timeliness,18200000.00
84.399,"Independent Living Services for Older Individuals Who are Blind, Recovery Act ",timeliness,34300000.00
84.402,"Consolidated Grants to the Outlying Areas, Recovery Act",consistency,39001431.00,
84.403,Consolidated Grant to the Outlying Areas,consistency,77609922.00,
84.404,"Impact Aid -- School Construction Formula Grants, Recovery Act",timeliness,40000000.00
84.371,Striving Readers,consistency,34821000.00,6613062.00
84.004,Civil Rights Training and Advisory Services,timeliness,9489000.00
84.015,National Resource Centers Program for Foreign Language and Area Studies or Foreign Language and International Studies Program and Foreign Language and Area Studies Fellowship Program,consistency,65680000.00,182675748.00
84.016,Undergraduate International Studies and Foreign Language Programs,consistency,4633505.00,6986285.00
84.018,Overseas Programs_Special Bilateral Projects,consistency,2380155.00,
84.019,Overseas Programs - Faculty Research Abroad,timeliness,1398505.00
84.021,Overseas Programs - Group Projects Abroad,consistency,5198426.00,2483490.00
84.022,Overseas Programs - Doctoral Dissertation Research Abroad,timeliness,5437734.00
84.031,Higher Education_Institutional Aid,consistency,790299000.00,1738137038.00
84.042,TRIO_Student Support Services,consistency,301500000.00,854220953.00
84.047,TRIO_Upward Bound,timeliness,362200000.00
84.051,Career and Technical Education -- National Programs,consistency,7860000.00,12452985.00
84.083,Women's Educational Equity Program,timeliness,2423000.00
84.101,Career and Technical Education - Grants to Native Americans and Alaska Natives,consistency,14511000.00,44139628.00
84.103,TRIO Staff Training Program,consistency,4300000.00,8549604.00
84.116,Fund for the Improvement of Postsecondary Education,timeliness,133667000.00
84.120,Minority Science and Engineering Improvement,consistency,8577000.00,14642943.00
84.128,Rehabilitation Services_Service Projects,consistency,4713000.00,11801044.00
84.129,Rehabilitation Long-Term Training,consistency,22996871.00,39002210.00
84.132,Centers for Independent Living,consistency,77266000.00,287788202.00
84.133,National Institute on Disability and Rehabilitation Research,consistency,10774100.00,264833469.00
84.144,Migrant Education_Coordination Program,timeliness,3000000.00
84.160,Training Interpreters for Individuals who are Deaf and Individuals who are Deaf-Blind,consistency,2096247.00,8371225.00
84.165,Magnet Schools Assistance,consistency,104829000.00,307085189.00
84.170,Javits Fellowships,consistency,9529559.00,22449386.00
84.184,Safe and Drug-Free Schools and Communities_National Programs,consistency,220240000.00,557535640.00
84.191,Adult Education_National Leadership Activities,consistency,6878000.00,
84.200,Graduate Assistance in Areas of National Need,consistency,31030000.00,49387367.00
84.214,Even Start_Migrant Education,consistency,0.00,7804021.00
84.215,Fund for the Improvement of Education,consistency,363041500.00,644295438.00
84.217,TRIO_McNair Post-Baccalaureate Achievement,consistency,47527000.00,124231756.00
84.220,Centers for International Business Education,consistency,11527300.00,43787300.00
84.229,Language Resource Centers,consistency,5022000.00,14815774.00
84.235,Rehabilitation Services Demonstration and Training Programs,consistency,6506000.00,14935482.00
84.245,Tribally Controlled Postsecondary Career and Technical Institutions ,consistency,7773000.00,22680830.00
84.246,Rehabilitation Short-Term Training,consistency,750000.00,1549979.00
84.250,Rehabilitation Services_American Indians with Disabilities,consistency,36113000.00,69285872.00
84.256,Territories and Freely Associated States Education Grant Program,completeness,3694491.00
84.257,National Institute for Literacy,consistency,3906000.00,6640929.00
84.259,Native Hawaiian Career and Technical Education,timeliness,2902000.00
84.263,Rehabilitation Training_Experimental and Innovative Training,consistency,500000.00,
84.264,Rehabilitation Training_Continuing Education,timeliness,8300000.00
84.265,Rehabilitation Training_State Vocational Rehabilitation Unit In-Service Training,consistency,5664900.00,22304989.00
84.274,American Overseas Research Centers,consistency,1197122.00,3394244.00
84.275,Rehabilitation Training_General Training,consistency,300000.00,1477925.00
84.283,Comprehensive Centers,consistency,57113000.00,175278303.00
84.286,Ready to Teach,consistency,10700000.00,34098819.00
84.293,Foreign Language Assistance,consistency,26328000.00,45184513.00
84.295,Ready-To-Learn Television,consistency,25382800.00,73451065.00
84.299,Indian Education -- Special Programs for Indian Children,consistency,19060000.00,35763037.00
84.304,Civic Education - We the People and the Cooperative Education Exchange Program,timeliness,33459000.00
84.305,"Education Research, Development and Dissemination",timeliness,124992772.00
84.310,Parental Information and Resource Centers,consistency,39254000.00,149709340.00
84.315,Capacity Building for Traditionally Underserved Populations,consistency,2353180.00,8697224.00
84.324,Research in Special Education,timeliness,63610568.00
84.325,Special Education - Personnel Development to Improve Services and Results for Children with Disabilities,consistency,90653000.00,141427507.00
84.327,Special Education_Technology and Media Services for Individuals with Disabilities,timeliness,38615000.00
84.329,Special Education_Studies and Evaluations,consistency,9460000.00,
84.330,Advanced Placement Program (Advanced Placement Test Fee; Advanced Placement Incentive Program Grants),timeliness,43450000.00
84.333,"Demonstration Projects to Support Postsecondary Faculty, Staff, and Administrations in Educating Students with Disabilities",consistency,6755000.00,13384516.00
84.334,Gaining Early Awareness and Readiness for Undergraduate Programs,consistency,313212000.00,77681867.00
84.335,Child Care Access Means Parents in School,consistency,16034000.00,28886587.00
84.336,Teacher Quality Partnership Grants,timeliness,50000000.00
84.350,Transition to Teaching,consistency,43707000.00,128596040.00
84.351,Arts in Education,consistency,38166000.00,63999873.00
84.354,Credit Enhancement for Charter School Facilities,timeliness,8300000.00
84.356,Alaska Native Educational Programs,completeness,33315000.00
84.359,Early Reading First,timeliness,112549000.00
84.361,Voluntary Public School Choice,consistency,25819000.00,75882781.00
84.362,Native Hawaiian Education,consistency,33315000.00,53401228.00
84.363,School Leadership,consistency,19220000.00,33483463.00
84.366,Mathematics and Science Partnerships,timeliness,178978000.00
84.370,DC School Choice Incentive Program ,consistency,14000000.00,4171236.00
84.372,Statewide Data Systems,timeliness,48500000.00
84.373,Special Education_Technical Assistance on State Data Collection,consistency,15000000.00,38778665.00
84.374,Teacher Incentive Fund,timeliness,97270000.00
84.380,Special Education -- Olympic Education Programs,completeness,8095000.00
84.381,"Baccalaureate Degrees in Science, Technology, Engineering, Mathematics, and Critical Foreign Languages and Master's Degrees in Science, Technology, Engineering, Mathematics, and Critical Foreign Languages",timeliness,2184000.00
84.382,Strengthening Minority-Serving Institutions,consistency,25000000.00,61872962.00
84.384,"Statewide Data Systems, Recovery Act",consistency,250000000.00,
84.395,"State Fiscal Stabilization Fund (SFSF) - Race-to-the-Top Incentive Grants, Recovery Act",consistency,4350000000.00,
84.400,"Centers for Independent Living, Recovery Act.",consistency,87500000.00,
84.401,"Impact Aid School Construction, Recovery Act",consistency,60000000.00,
84.405,"Teacher Quality Partnerships, Recovery Act ",consistency,100000000.00,
84.368,Grants for Enhanced Assessment Instruments,timeliness,10732000.00
84.375,Academic Competitiveness Grants,timeliness,511507000.00
84.376,National Science and Mathematics Access to Retain Talent (SMART) Grants,timeliness,358428000.00
81.057,University Coal Research,timeliness,2352410.00
81.079,Regional Biomass Energy Programs,consistency,25705.00,6641.00
81.104,Office of Environmental Waste Processing,consistency,12572000.00,19935536.00
81.105,"National Industrial Competitiveness through Energy, Environment, and Economics",consistency,0.00,-25742.00
81.108,Epidemiology and Other Health Studies Financial Assistance Program,timeliness,25000000.00
81.119,State Energy Program Special Projects,consistency,990405.00,-470064.00
81.133,Geologic Sequestration Training and Research Grant Program,consistency,19467707.00,
81.135,Advanced Research and Projects Agency  Energy Financial Assistance Program  ,consistency,3000000.00,
81.136,Long-Term Surveillance and Maintenance,consistency,3046453.00,833223.00
93.041,"Special Programs for the Aging_Title VII, Chapter 3_Programs for Prevention of Elder Abuse, Neglect, and Exploitation",consistency,5005440.00,1000000.00
93.042,"Special Programs for the Aging_Title VII, Chapter 2_Long Term Care Ombudsman Services for Older Individuals",timeliness,16291466.00
93.043,"Special Programs for the Aging_Title III, Part D_Disease Prevention and Health Promotion Services",consistency,21026000.00,
93.044,"Special Programs for the Aging_Title III, Part B_Grants for Supportive Services and Senior Centers",consistency,351348000.00,
93.045,"Special Programs for the Aging_Title III, Part C_Nutrition Services",consistency,648728000.00,1175949440.00
93.052,"National Family Caregiver Support, Title III, Part E",consistency,154220000.00,
93.053,Nutrition Services Incentive Program ,timeliness,153429000.00
93.071,Medicare Enrollment Assistance Program,timeliness,17500000.00
93.124,Nurse Anesthetist Traineeships,timeliness,1250000.00
93.138,Protection and Advocacy for Individuals with Mental Illness,completeness,35162400.00
93.150,Projects for Assistance in Transition from Homelessness (PATH),completeness,57059000.00
93.235,Affordable Care Act (ACA) Abstinence Education Program,timeliness,22949000.00
93.264,Nurse Faculty Loan Program (NFLP),consistency,7089668.00,10679570.00
93.267,State Grants for Protection and Advocacy Services,timeliness,3273589.00
93.405,ARRA - Public Health Traineeship Program,completeness,2985000.00
93.556,Promoting Safe and Stable Families,timeliness,381475117.00
93.558,Temporary Assistance for Needy Families,timeliness,17987876000.00
93.560,Family Support Payments to States_Assistance Payments,consistency,32808000.00,-42817568.00
93.563,Child Support Enforcement,timeliness,4674810064.00
93.566,Refugee and Entrant Assistance_State Administered Programs,timeliness,279528000.00
93.568,Low-Income Home Energy Assistance,timeliness,4509672000.00
93.569,Community Services Block Grant,timeliness,699984000.00
93.575,Child Care and Development Block Grant,consistency,2127081000.00,5550349.00
93.584,Refugee and Entrant Assistance_Targeted Assistance Grants,completeness,43731000.00
93.586,State Court Improvement Program,timeliness,32089263.00
93.590,Community-Based Child Abuse Prevention Grants,completeness,41689000.00
93.591,Family Violence Prevention and Services/Grants For Battered Women's Shelters_Grants to State Domestic Violence Coalitions,timeliness,12777600.00
93.594,Tribal Work Grants,timeliness,7558000.00
93.596,Child Care Mandatory and Matching Funds of the Child Care and Development Fund,consistency,2917000000.00,5008323877.00
93.599,Chafee Education and Training Vouchers Program (ETV),timeliness,45347487.00
93.603,Adoption Incentive Payments,completeness,36500000.00
93.617,Voting Access for Individuals with Disabilities_Grants to States,completeness,12154000.00
93.618,Voting Access for Individuals with Disabilities-Grants for Protection and Advocacy Systems,timeliness,4888100.00
93.630,Developmental Disabilities Basic Support and Advocacy Grants,consistency,74316000.00,114075597.00
93.643,Children's Justice Grants to States,completeness,17000000.00
93.645,Stephanie Tubbs Jones Child Welfare Services Program,timeliness,281744000.00
93.658,Foster Care_Title IV-E,timeliness,4707484000.00
93.659,Adoption Assistance,timeliness,2130185000.00
93.667,Social Services Block Grant,timeliness,2300000000.00
93.669,Child Abuse and Neglect State Grants,timeliness,26535000.00
93.671,Family Violence Prevention and Services/Grants for Battered Women's Shelters_Grants to States and Indian Tribes,timeliness,100369010.00
93.674,Chafee Foster Care Independence Program,timeliness,139997172.00
93.705,Aging Home-Delivered Nutrition Services for States,timeliness,32000000.00
93.707,Aging Congregate Nutrition Services for States,timeliness,65000000.00
93.710,ARRA - Community Services Block Grant,timeliness,991637000.00
93.713,ARRA  Child Care and Development Block Grant ,completeness,1995000000.00
93.714,ARRA  Emergency Contingency Fund for Temporary Assistance for Needy Families (TANF) State Program,timeliness,616695446.00
93.767,Children's Health Insurance Program,consistency,5315000000.00,12643951017.00
93.775,State Medicaid Fraud Control Units,consistency,195300000.00,
93.777,State Survey and Certification of Health Care Providers and Suppliers (Title XVIII) Medicare,consistency,293128000.00,478765881.00
93.778,Medical Assistance Program,timeliness,264100328000.00
93.780,Grants to States for Operation of Qualified High-Risk Pools,timeliness,75000000.00
93.917,HIV Care Formula Grants,timeliness,1195563986.00
93.958,Block Grants for Community Mental Health Services,timeliness,399735000.00
93.959,Block Grants for Prevention and Treatment of Substance Abuse,timeliness,1689661450.00
93.964,Public Health Traineeships,consistency,14336417.00,1436434.00
93.975,National All Schedules Prescription Electronic Reporting Grant,completeness,2000000.00
93.991,Preventive Health and Health Services Block Grant,completeness,95892759.00
93.994,Maternal and Child Health Services Block Grant to the States,timeliness,1107662194.00
93.157,Centers of Excellence,completeness,20602000.00
93.358,Advanced Nursing Education Traineeships,timeliness,16000000.00
93.889,National Bioterrorism Hospital Preparedness Program,completeness,362017984.00
93.208,Great Lakes Human Health Effects Research,completeness,800000.00
93.009,Compassion Capital Fund  ,consistency,19315089.00,43825445.00
93.010,Community-Based Abstinence Education (CBAE) ,timeliness,124438000.00
93.018,Strengthening Public Health Services at the Outreach Offices of the U.S.-Mexico Border Health Commission,consistency,2600000.00,
93.047,"Special Programs for the Aging_Title VI, Part A, Grants to Indian Tribes_Part B, Grants to Native Hawaiians",timeliness,32790938.00
93.048,Special Programs for the Aging_Title IV_and Title II_Discretionary Projects,completeness,59866000.00
93.051,Alzheimer's Disease Demonstration Grants to States,completeness,11464000.00
93.054,"National Family Caregiver Support, Title VI, Part C, Grants To Indian Tribes And Native Hawaiians",timeliness,6351477.00
93.061,Innovations in Applied Public Health Research,completeness,27000000.00
93.063,Centers for Genomics and Public Health,consistency,0.00,500000.00
93.064,"Laboratory Training, Evaluation, and Quality Assurance Programs",completeness,2304561.00
93.065,"Laboratory Leadership, Workforce Training and Management Development, Improving Public Health Laboratory Infrastructure",consistency,12000000.00,3521253.00
93.066,State Vital Statistics Improvement Program,completeness,500000.00
93.067,Global AIDS,completeness,1124382010.00
93.068,"Chronic Diseases:  Research, Control, and Prevention  ",completeness,4000000.00
93.069,Public Health Emergency Preparedness,consistency,688914546.00,2037006342.00
93.086,Healthy Marriage Promotion and Responsible Fatherhood Grants,completeness,149870000.00
93.087,Enhance the Safety of Children Affected by Parental Methamphetamine or Other Substance Abuse,completeness,29400000.00
93.088,Advancing System Improvements to Support Targets for Healthy People 2010,completeness,4000000.00
93.089,Emergency System for Advance Registration of Volunteer Health Professionals,consistency,3115389.00,
93.103,Food and Drug Administration_Research,completeness,38665076.00
93.104,Comprehensive Community Mental Health Services for Children with Serious Emotional Disturbances (SED),completeness,84229718.00
93.107,Area Health Education Centers Point of Service Maintenance and Enhancement Awards,completeness,17500000.00
93.110,Maternal and Child Health Federal Consolidated Programs,completeness,136281000.00
93.113,Environmental Health,timeliness,313664000.00
93.116,Project Grants and Cooperative Agreements for Tuberculosis Control Programs,completeness,98531318.00
93.117,Preventive Medicine Residency Program,completeness,1231304.00
93.118,Acquired Immunodeficiency Syndrome (AIDS) Activity,completeness,3378016.00
93.123,Health Professions Pregraduate Scholarship Program for Indians,consistency,1364846.00,
93.127,Emergency Medical Services for Children,timeliness,20000000.00
93.129,Technical and Non-Financial Assistance to Health Centers,completeness,40000000.00
93.130,Cooperative Agreements to States/Territories for the Coordination and Development of Primary Care Offices,consistency,20000000.00,9457756.00
93.134,Grants to Increase Organ Donations,completeness,5172318.00
93.135,Centers for Research and Demonstration for Health Promotion and Disease Prevention,consistency,33825380.00,63514164.00
