CFDA number,CFDA Program Title,Failed Metric,CFDA Program Obligation,USASpending Obligation
11.462,Hydrologic Research,consistency,1100000.00,399874.00
12.112,Payments to States in Lieu of Real Estate Taxes,consistency,10244372.00,
12.558,"Department of Defense Impact Aid (Supplement, CWSD, BRAC)",consistency,41000000.00,
12.121,"Montana, Nevada, New Mexico, Utah, Idaho, & Wyoming Environmental Infrastructure (Section 595) - ARRA",consistency,5896662.00,
12.120,Northeastern Minnesota  Environmental Infrastructure (Section 569) - ARRA,consistency,5023152.00,
12.119,Northern Wisconsin Environmental Infrastructure (Section 154) - ARRA,consistency,10999.00,
12.118,North Dakota Environmental Infrastructure (Section 594) - ARRA,consistency,801705.00,
12.560,"DOD, NDEP, DOTC-STEM Education Outreach Implementation",timeliness,4050000.00
12.557,Invitational Grants for Military-Connected Schools,consistency,15000000.00,6410000.00
12.556,Competitive Grants: Promoting K-12 Student Achievement at Military-Connected Schools,timeliness,15000000.00
12.555,English for Heritage Language Speakers Scholarships,consistency,1444000.00,
12.553,The Language Flagship Fellowships,consistency,1000000.00,
12.552,National Security Education Program David L. Boren Fellowships,consistency,2000000.00,
12.551,National Security Education Program David L. Boren Scholarships,consistency,2000000.00,
12.630,"Basic, Applied, and Advanced Research in Science and Engineering",consistency,81000000.00,157147307.00
12.631,"Science, Technology, Engineering and Mathematics (STEM) Educational Program: Science, Mathematics And Research for Transformation (SMART)",completeness,37300000.00
12.124,Mississippi Environmental Infrastructure (Section 592) - ARRA,consistency,25030000.00,
12.123,South Central Pennsylvania Envrionmental Infrastructure (Section 313) - ARRA,consistency,2000000.00,
12.330,"Science, Technology, Engineering & Mathematics (STEM) for K-12 & Institutions of Higher Learning- NAVY",consistency,2000000.00,
84.402,"Consolidated Grants to the Outlying Areas, Recovery Act",consistency,0.00,39001434.00
84.403,Consolidated Grant to the Outlying Areas,timeliness,71399286.00
84.398,"Independent Living State Grants, Recovery Act ",consistency,0.00,90092.00
84.394,"State Fiscal Stabilization Fund (SFSF) -  Education State Grants, Recovery Act",consistency,0.00,1765434517.00
84.397,"State Fiscal Stabilization Fund (SFSF) - Government Services, Recovery Act",consistency,0.00,408186435.00
84.390,"Rehabilitation Services-Vocational Rehabilitation Grants to States, Recovery Act ",consistency,4744577.00,1460674.00
84.377,School Improvement Grants,timeliness,545633000.00
84.371,Striving Readers,timeliness,190500000.00
84.388,"School Improvement Grants, Recovery Act",consistency,0.00,2971135217.00
84.367,Improving Teacher Quality State Grants,consistency,2947749000.00,1234973250.00
84.161,Rehabilitation Services_Client Assistance Program,timeliness,12288000.00
84.169,Independent Living_State Grants,timeliness,23450000.00
84.343,Assistive Technology_State Grants for Protection and Advocacy,timeliness,4300000.00
84.240,Program of Protection and Advocacy of Individual Rights,timeliness,18101000.00
84.126,Rehabilitation Services_Vocational Rehabilitation Grants to States,timeliness,3041797000.00
84.010,Title I Grants to Local Educational Agencies,consistency,14492401000.00,3780196925.00
84.048,Career and Technical Education -- Basic Grants to States,consistency,1141988000.00,369022167.00
84.224,Assistive Technology,timeliness,25660000.00
84.186,Safe and Drug-Free Schools and Communities_State Grants,consistency,0.00,589518.00
84.401,"Impact Aid School Construction, Recovery Act",consistency,0.00,59828355.00
84.405,"Teacher Quality Partnerships, Recovery Act ",consistency,0.00,99832177.00
84.400,"Centers for Independent Living, Recovery Act.",consistency,0.00,86442855.00
84.395,"State Fiscal Stabilization Fund (SFSF) - Race-to-the-Top Incentive Grants, Recovery Act",consistency,0.00,4302573043.00
84.396,"State Fiscal Stabilization Fund (SFSF) - Investing in Innovation (i3) Fund, Recovery Act",consistency,0.00,645978395.00
84.374,Teacher Incentive Fund,consistency,400000000.00,673559564.00
84.370,DC School Choice Incentive Program ,consistency,13200000.00,21568215.00
84.382,Strengthening Minority-Serving Institutions,consistency,36500000.00,12527702.00
84.384,"Statewide Data Systems, Recovery Act",consistency,0.00,249999967.00
84.363,School Leadership,timeliness,29220000.00
84.021,Overseas Programs - Group Projects Abroad,consistency,5416456.00,10786900.00
84.330,Advanced Placement Program (Advanced Placement Test Fee; Advanced Placement Incentive Program Grants),timeliness,45840000.00
84.329,Special Education_Studies and Evaluations,consistency,11460000.00,
84.257,National Institute for Literacy,consistency,0.00,2263570.00
84.264,Rehabilitation Training_Continuing Education,timeliness,8350927.00
84.018,Overseas Programs_Special Bilateral Projects,consistency,2249221.00,
84.275,Rehabilitation Training_General Training,consistency,300000.00,460000.00
84.177,Rehabilitation Services_Independent Living Services for Older Individuals Who are Blind,timeliness,34151000.00
84.191,Adult Education_National Leadership Activities,consistency,11346000.00,
84.235,Rehabilitation Services Demonstration and Training Programs,consistency,6506000.00,13529245.00
84.376,National Science and Mathematics Access to Retain Talent (SMART) Grants,timeliness,453230380.00
84.375,Academic Competitiveness Grants,timeliness,700454577.00
84.033,Federal Work-Study Program,timeliness,980492000.00
84.007,Federal Supplemental Educational Opportunity Grants,timeliness,757465000.00
81.041,State Energy Program,timeliness,53775349.00
81.042,Weatherization Assistance for Low-Income Persons,timeliness,342316640.00
81.022,Laboratory Equipment Donation Program,consistency,100.00,
81.113,Defense Nuclear Nonproliferation Research,consistency,25133368.00,42912633.00
81.105,"National Industrial Competitiveness through Energy, Environment, and Economics",consistency,0.00,-198589.00
81.065,Nuclear Waste Disposal Siting,consistency,27000000.00,6613190.00
81.136,Long-Term Surveillance and Maintenance,consistency,3187978.00,5566620.00
81.133,Geologic Sequestration Training and Research Grant Program,consistency,19691700.00,5034732.00
93.569,Community Services Block Grant,completeness,699999000.00
93.568,Low-Income Home Energy Assistance,completeness,4509679000.00
93.566,Refugee and Entrant Assistance_State Administered Programs,completeness,299039000.00
93.563,Child Support Enforcement,completeness,4489417000.00
93.964,Prevention and Public Health Fund (PPHF) Public Health Traineeships,completeness,1436417.00
93.560,Family Support Payments to States_Assistance Payments,consistency,32808286.00,
93.778,Medical Assistance Program,completeness,290461260000.00
93.777,State Survey and Certification of Health Care Providers and Suppliers (Title XVIII) Medicare,completeness,346900000.00
93.991,Preventive Health and Health Services Block Grant,completeness,94856415.00
93.767,Children's Health Insurance Program,completeness,7887143000.00
93.235,Affordable Care Act (ACA) Abstinence Education Program,consistency,33435000.00,6420372.00
93.255,Children's Hospitals Graduate Medical Education Payment,completeness,317000000.00
93.586,State Court Improvement Program,completeness,32085084.00
93.044,"Special Programs for the Aging_Title III, Part B_Grants for Supportive Services and Senior Centers",consistency,361348000.00,
93.045,"Special Programs for the Aging_Title III, Part C_Nutrition Services",consistency,658362000.00,1193467451.00
93.889,National Bioterrorism Hospital Preparedness Program,completeness,390500000.00
93.645,Stephanie Tubbs Jones Child Welfare Services Program,completeness,281744000.00
93.267,State Grants for Protection and Advocacy Services,completeness,3272375.00
93.671,Family Violence Prevention and Services/Grants for Battered Women's Shelters_Grants to States and Indian Tribes,completeness,104041600.00
93.241,State Rural Hospital Flexibility Program,completeness,58289976.00
93.994,Maternal and Child Health Services Block Grant to the States,completeness,552642164.00
93.714,ARRA  Emergency Contingency Fund for Temporary Assistance for Needy Families (TANF) State Program,completeness,4375243421.00
93.716,ARRA  Temporary Assistance for Needy Families (TANF) Supplemental Grants ,completeness,319450226.00
93.710,ARRA - Community Services Block Grant,completeness,8362715.00
93.713,ARRA  Child Care and Development Block Grant ,consistency,10000000.00,-12082.00
93.669,Child Abuse and Neglect State Grants,completeness,23353000.00
93.917,HIV Care Formula Grants,completeness,1203976183.00
93.041,"Special Programs for the Aging_Title VII, Chapter 3_Programs for Prevention of Elder Abuse, Neglect, and Exploitation",consistency,5005440.00,
93.042,"Special Programs for the Aging_Title VII, Chapter 2_Long Term Care Ombudsman Services for Older Individuals",completeness,16824511.00
93.043,"Special Programs for the Aging_Title III, Part D_Disease Prevention and Health Promotion Services",consistency,21026000.00,
93.090,Guardianship Assistance,consistency,49000000.00,10217435.00
93.658,Foster Care_Title IV-E,completeness,4487979054.00
93.053,Nutrition Services Incentive Program ,completeness,161015000.00
93.052,"National Family Caregiver Support, Title III, Part E",consistency,154220000.00,
93.603,Adoption Incentive Payments,completeness,39500000.00
93.674,Chafee Foster Care Independence Program,completeness,140000000.00
93.590,Community-Based Child Abuse Prevention Grants,completeness,41689000.00
93.591,Family Violence Prevention and Services/Grants For Battered Women's Shelters_Grants to State Domestic Violence Coalitions,completeness,13003200.00
93.596,Child Care Mandatory and Matching Funds of the Child Care and Development Fund,consistency,2917000000.00,5016896430.00
93.597,Grants to States for Access and Visitation Programs,completeness,10000000.00
93.594,Tribal Work Grants,completeness,7558000.00
93.599,Chafee Education and Training Vouchers Program (ETV),completeness,45351000.00
93.071,Medicare Enrollment Assistance Program,consistency,30000000.00,
93.617,Voting Access for Individuals with Disabilities_Grants to States,completeness,12054000.00
93.618,Voting Access for Individuals with Disabilities-Grants for Protection and Advocacy Systems,completeness,4888080.00
93.584,Refugee and Entrant Assistance_Targeted Assistance Grants,completeness,43731000.00
93.556,Promoting Safe and Stable Families,completeness,376221737.00
93.958,Block Grants for Community Mental Health Services,completeness,399735000.00
93.959,Block Grants for Prevention and Treatment of Substance Abuse,completeness,1708661450.00
93.138,Protection and Advocacy for Individuals with Mental Illness,completeness,35652400.00
93.558,Temporary Assistance for Needy Families,completeness,16743758857.00
93.659,Adoption Assistance,completeness,2462000000.00
93.630,Developmental Disabilities Basic Support and Advocacy Grants,consistency,75066000.00,115269520.00
93.124,Nurse Anesthetist Traineeships,completeness,1250000.00
93.643,Children's Justice Grants to States,completeness,17000000.00
93.150,Projects for Assistance in Transition from Homelessness (PATH),completeness,62121000.00
93.796,State Survey Certification of Health Care Providers and Suppliers (Title XIX) Medicaid,consistency,190108356.00,
93.575,Child Care and Development Block Grant,consistency,2126757000.00,1389000.00
93.975,National All Schedules Prescription Electronic Reporting Grant,completeness,2000000.00
93.780,Grants to States for Operation of Qualified High-Risk Pools,completeness,55000000.00
93.667,Social Services Block Grant,completeness,1700000000.00
93.914,HIV Emergency Relief Project Grants,completeness,679074000.00
93.564,Child Support Enforcement Research,consistency,530000.00,1689922.00
93.965,Coal Miners Respiratory Impairment Treatment Clinics and Services,completeness,7200000.00
93.361,Nursing Research,completeness,112362000.00
93.360,"Biomedical Advanced Research and Development Authority (BARDA), Biodefense Medical Countermeasure Development",completeness,10500000.00
93.211,Telehealth Programs,completeness,8700000.00
93.213,Research and Training in Complementary and Alternative Medicine,completeness,94740000.00
93.212,Chiropractic Demonstration Project Grants,completeness,1945000.00
93.884,Grants for Primary Care Training and Enhancement,completeness,36732181.00
93.178,Nursing Workforce Diversity,completeness,14520021.00
93.172,Human Genome Research,completeness,421382000.00
93.173,Research Related to Deafness and Communication Disorders,completeness,336882000.00
93.779,"Centers for Medicare and Medicaid Services (CMS) Research, Demonstrations and Evaluations",consistency,35600000.00,64022646.00
93.512,Affordable Care Act (ACA) Personal and Home Care Aide State Training Program (PHCAST),completeness,5000000.00
93.510,Affordable Care Act (ACA) Primary Care Residency Expansion Program ,completeness,168000000.00
93.511,Affordable Care Act (ACA) Grants to States for Health Insurance Premium Review,timeliness,51000000.00
93.514,Affordable Care Act (ACA) Expansion of Physician Assistant Training Program,consistency,3936942.00,30118081.00
93.839,Blood Diseases and Resources Research,completeness,359035145.00
93.838,Lung Diseases Research,completeness,527890137.00
93.358,Advanced Education Nursing Traineeships,completeness,16000000.00
93.359,"Nurse Education, Practice Quality and Retention Grants",completeness,38163048.00
93.220,Clinical Research Loan Repayment Program for Individuals from Disadvantaged Backgrounds,consistency,251397.00,
93.226,"Research on Healthcare Costs, Quality and Outcomes",completeness,138463000.00
93.087,Enhance Safety of Children Affected by Substance Abuse,completeness,22500000.00
93.165,Grants to States for Loan Repayment Program,timeliness,10000000.00
93.768,Medicaid Infrastructure Grants To Support the Competitive Employment of People with Disabilities,completeness,82077000.00
93.760,Rural PACE (Program of All-Inclusive Care for the Elderly) Provider Grant Program,consistency,10000000.00,173925.00
93.509,Affordable Care Act (ACA) State Health Care Workforce Development Grants,completeness,5750000.00
93.508,"Affordable Care Act (ACA) Tribal Maternal, Infant, and Early Childhood Home Visiting Program",completeness,3000000.00
93.503,Affordable Care Act (ACA) Nursing Assistant and Home Health Aide Program,completeness,2605000.00
93.506,ACA Nationwide Program for National and State Background Checks for Direct Patient Access Employees of Long Term Care Facilities and Providers ,completeness,14000000.00
93.982,Mental Health Disaster Assistance and Emergency Mental Health,completeness,6525498.00
93.342,"Health Professions Student Loans, Including Primary Care Loans/Loans for Disadvantaged Students",consistency,20171302.00,
93.187,Undergraduate Scholarship Program for Individuals from Disadvantaged Backgrounds,consistency,400000.00,
93.237,Special Diabetes Program for Indians_Diabetes Prevention and Treatment  Projects,completeness,135273029.00
93.234,Traumatic Brain Injury State Demonstration Grant Program,completeness,5204419.00
93.233,National Center on Sleep Disorders Research,completeness,54488124.00
93.232,Loan Repayment Program for General Research,consistency,4805726.00,
93.403,ARRA Grants for Training in Primary Care Medicine and Dentistry Training and Enhancement,completeness,40592164.00
93.407,ARRA - Scholarships for Disadvantaged Students,completeness,20457570.00
93.408,ARRA - Nurse Faculty Loan Program,completeness,6611660.00
93.247,Advanced Nursing Education Grant Program ,completeness,42355722.00
93.301,Small Rural Hospital Improvement Grant Program,completeness,14648000.00
93.419,ARRA - Maternal and Child Health (MCH) Pediatric Research Network Program,completeness,3499979.00
93.418,ARRA - Emergency Medical Services for Children,timeliness,3498012.00
93.415,ARRA - Centers of Excellence,consistency,12036127.00,
93.412,ARRA - Preventive Medicine Residency Program,consistency,1198894.00,6651575.00
93.411,ARRA  Equipment to Enhance Training for Health Professionals,completeness,50000000.00
93.410,ARRA  Licensure Portability Grant Program,consistency,350000.00,997900.00
93.089,Emergency System for Advance Registration of Volunteer Health Professionals,completeness,3672000.00
93.259,Rural Access to Emergency Devices Grant,consistency,1277695.00,2263968.00
93.581,Improving the Capability of Indian Tribal Governments to Regulate Environmental Quality,completeness,2398385.00
93.251,Universal Newborn Hearing Screening,completeness,17041845.00
93.250,Geriatric Academic Career Awards,completeness,6278819.00
93.254,Infant Adoption Awareness Training,completeness,12953000.00
93.257,"Grants for Education, Prevention, and Early Detection of Radiogenic Cancers and Diseases",completeness,1952000.00
93.256,State Health Access Program ,completeness,70660891.00
93.587,Promote the Survival and Continuing Vitality of Native American Languages,completeness,12207827.00
93.047,"Special Programs for the Aging_Title VI, Part A, Grants to Indian Tribes_Part B, Grants to Native Hawaiians",completeness,26936716.00
93.887,Health Care and Other Facilities,completeness,260476910.00
93.888,Specially Selected Health Projects,consistency,41344380.00,73004825.00
93.086,Healthy Marriage Promotion and Responsible Fatherhood Grants,completeness,150000000.00
93.399,Cancer Control,consistency,84324000.00,152528787.00
93.393,Cancer Cause and Prevention Research,completeness,695159000.00
93.394,Cancer Detection and Diagnosis Research,completeness,525004000.00
93.265,Comprehensive Geriatric Education Program(CGEP),completeness,4158231.00
93.266,"Health Systems Strengthening and HIV/AIDS Prevention, Care and Treatment under the President's Emergency Plan for AIDS Relief ",consistency,80000000.00,148050378.00
93.262,Occupational Safety and Health Program,consistency,97627472.00,205432354.00
93.268,Immunization Cooperative Agreements,consistency,3926726390.00,287141912.00
93.067,Global AIDS,completeness,1075198422.00
93.623,Basic Center Grant,completeness,53744000.00
93.721,ARRA - Health Information Technology Professionals in Health Care,consistency,83725590.00,35725590.00
93.720,ARRA - Survey and Certification Ambulatory Surgical Center Healthcare-Associated Infection (ASC-HAI) Prevention Initiative,timeliness,9000000.00
93.891,Alcohol Research Center Grants,consistency,27276000.00,4409760.00
93.726,ARRA Accelerating Adoption of Comparative Effectiveness Research (CER),consistency,20315993.00,
93.091,Social Services and Income Maintenance Benefits Enrollment Coordination Grants,consistency,2000000.00,
93.715,Recovery Act  Comparative Effectiveness Research - AHRQ,completeness,310969115.00
93.652,Adoption Opportunities,completeness,26379000.00
93.389,National Center for Research Resources,completeness,1197300000.00
93.928,Special Projects of National Significance,completeness,25000000.00
93.273,Alcohol Research Programs,completeness,349938000.00
93.276,Drug-Free Communities Support Program Grants,completeness,85552793.00
93.275,Substance Abuse and Mental Health Services-Access to Recovery,completeness,94787826.00
93.513,Affordable Care Act (ACA) Advanced Nursing Education Expansion Initiative ,completeness,31044256.00
93.279,Drug Abuse and Addiction Research Programs,consistency,38314000.00,818039866.00
93.515,Affordable Care Act (ACA) Nurse-Managed Health Clinics,completeness,15000000.00
93.867,Vision Research,completeness,565353000.00
93.722,ARRA - IHS Tribal Agreements,consistency,420000000.00,14648592.00
93.193,Urban Indian Health Services,consistency,43139000.00,9986874.00
93.191,Graduate Psychology Education Program and Patient Navigator and Chronic Disease Prevention Program ,consistency,1810000.00,6512948.00
93.547,Affordable Care Act  National Health Service Corps,consistency,97470120.00,
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,completeness,194849081.00
93.224,"Consolidated Health Centers (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, Public Housing Primary Care, and School Based Health Centers)",completeness,1954000000.00
93.228,Indian Health Service_Health Management Development Program,consistency,2586000.00,107274016.00
93.709,ARRA - Early Head Start,completeness,1091800000.00
93.708,ARRA - Head Start,completeness,430468000.00
93.879,Medical Library Assistance,completeness,62166000.00
93.703,ARRA  Grants to Health Center Programs,timeliness,520000000.00
93.702,"National Center for Research Resources, Recovery Act Construction Support",completeness,1000000000.00
93.701,Trans-NIH Recovery Act Research Support  ,completeness,5446500000.00
93.676,Unaccompanied Alien Children Program,consistency,69262000.00,122163535.00
93.670,Child Abuse and Neglect Discretionary Activities,completeness,25439419.00
93.054,"National Family Caregiver Support, Title VI, Part C, Grants To Indian Tribes And Native Hawaiians",completeness,6373027.00
93.551,Abandoned Infants,completeness,11600000.00
93.846,"Arthritis, Musculoskeletal and Skin Diseases Research",completeness,829708000.00
93.847,"Diabetes, Digestive, and Kidney Diseases Extramural Research",completeness,1423272000.00
93.600,Head Start,completeness,7235513000.00
93.601,Child Support Enforcement Demonstrations and Special Projects,consistency,283330.00,634245.00
93.604,Assistance for Torture Victims,completeness,10913000.00
93.605,Family Connection Grants,completeness,15000000.00
93.932,Native Hawaiian Health Systems,completeness,12750000.00
93.933,Demonstration Projects for Indian Health,timeliness,13625804.00
93.936,National Institutes of Health Acquired Immunodeficiency Syndrome Research Loan Repayment Program,consistency,285309.00,16769746.00
93.113,Environmental Health,completeness,335494000.00
93.592,Family Violence Prevention and Services/Grants for Battered Women's Shelters_Discretionary Grants,completeness,13798000.00
93.593,Job Opportunities for Low-Income Individuals,completeness,2644000.00
93.595,"Welfare Reform Research, Evaluations and National Studies",consistency,20987000.00,1320708.00
93.598,Services to Victims of a Severe Form of Trafficking,completeness,4121000.00
93.912,"Rural Health Care Services Outreach, Rural Health Network Development and Small Health Care Provider  Quality Improvement Program ",completeness,56000000.00
93.913,Grants to States for Operation of Offices of Rural Health,completeness,8650000.00
93.612,Native American Programs,completeness,27313237.00
93.616,Mentoring Children of Prisoners,completeness,49314000.00
93.855,"Allergy, Immunology and Transplantation Research",consistency,607576000.00,2635774555.00
93.853,Extramural Research Programs in the Neurosciences and Neurological Disorders,completeness,1232959000.00
93.859,Biomedical Research and Research Training,completeness,1956139000.00
93.926,Healthy Start Initiative,completeness,99337149.00
93.925,Scholarships for Health Professions Students from Disadvantaged Backgrounds,completeness,45742573.00
93.924,Ryan White HIV/AIDS Dental Reimbursement and Community Based Dental Partnership Grants,completeness,13012327.00
93.923,Disadvantaged Health Professions Faculty Loan Repayment (FLRP) and Minority Faculty Fellowship Program (MFFP),consistency,56825.00,256825.00
93.104,Comprehensive Community Mental Health Services for Children with Serious Emotional Disturbances (SED),completeness,87743974.00
93.103,Food and Drug Administration_Research,completeness,52133423.00
93.822,Health Careers Opportunity Program,completeness,21130487.00
93.134,Grants to Increase Organ Donations,completeness,6526405.00
93.136,Injury Prevention and Control Research and State and Community Based Programs,completeness,116700817.00
93.557,"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth",completeness,17971000.00
93.550,Transitional Living for Homeless Youth,completeness,43990000.00
93.009,Compassion Capital Fund  ,consistency,0.00,-2155.00
93.602,Assets for Independence Demonstration Program,consistency,23904000.00,11026326.00
93.607,Affordable Care Act - Preparedness and Emergency Response Research Centers: A Public Health Systems Approach,consistency,13863003.00,
93.310,Trans-NIH Research Support,completeness,485500000.00
