CFDA number,CFDA Program Title,Failed Metric,CFDA Program Obligation,USASpending Obligation
10.778,Research on the Economic Impact of Cooperatives,consistency,299772.00,
10.912,Environmental Quality Incentives Program,timeliness,894508727.00
10.914,Wildlife Habitat Incentive Program,timeliness,60580860.00
10.925,Agricultural Water Enhancement Program,consistency,59187347.00,16317827.00
10.926,Chesapeake Bay Watershed Program,consistency,60072994.00,11757913.00
10.921,Conservation Security Program ,timeliness,177717335.00
10.922,Healthy Forests Reserve Program (HFRP),timeliness,16086779.00
10.551,Supplemental Nutrition Assistance Program,consistency,71765487000.00,12012753186.00
10.090,Supplemental Revenue Assistance Program,completeness,910653589.00
10.091,"Emergency Assistance for Livestock, Honeybees, and Farm-Raised Fish Program",completeness,8420914.00
10.080,Milk Income Loss Contract Program ,consistency,566000.00,18136739.00
10.087,Biomass Crop Assistance Program,consistency,76731000.00,788592.00
10.085,Tobacco Transition Payment Program,completeness,953253000.00
10.451,Noninsured Assistance,consistency,71071000.00,
10.030,Indemnity Program,consistency,2456000.00,1169945.00
10.141,Dairy Product Price Support Program,consistency,12000.00,
10.609,Trade Adjustment Assistance,consistency,19.00,26805068.00
10.102,Emergency Forest Restoration Program ,consistency,2225787.00,
10.450,Crop Insurance,consistency,10646408000.00,1339930928.00
11.550,Public Telecommunications Facilities Planning and Construction,consistency,0.00,-5521733.00
11.553,Special Projects,consistency,3500.00,28236725.00
11.557,Broadband Technology Opportunities Program (BTOP),consistency,0.00,81401943.00
11.559,Low-Power Television and Translator Upgrade Program,consistency,7796518.00,1735281.00
11.307,Economic Adjustment Assistance,consistency,78720000.00,128405729.00
11.427,Fisheries Development and Utilization Research and Development Grants and Cooperative Agreements Program,consistency,0.00,-61501.00
12.560,"DOD, NDEP, DOTC-STEM Education Outreach Implementation",consistency,6500000.00,706974.00
12.599,Congressionally Directed Assistance,consistency,0.00,50680000.00
12.579,Language Training Center,consistency,6000000.00,
12.555,English for Heritage Language Speakers Scholarships,consistency,1500000.00,
12.553,The Language Flagship Fellowships,consistency,1000000.00,
12.552,National Security Education Program David L. Boren Fellowships,consistency,2000000.00,
12.551,National Security Education Program David L. Boren Scholarships,consistency,2000000.00,
12.630,"Basic, Applied, and Advanced Research in Science and Engineering",consistency,50000000.00,168043423.00
12.631,"Science, Technology, Engineering and Mathematics (STEM) Educational Program: Science, Mathematics And Research for Transformation (SMART)",consistency,50000000.00,23000000.00
12.330,"Science, Technology, Engineering & Mathematics (STEM) for K-12 & Institutions of Higher Learning- NAVY",consistency,6000000.00,80000.00
12.600,Community Economic Adjustment ,consistency,13000000.00,-27872.00
84.403,Consolidated Grant to the Outlying Areas,consistency,66092135.00,108344022.00
84.371,Striving Readers,consistency,0.00,194354837.00
84.410,Education Jobs Fund,consistency,0.00,860882509.00
84.367,Improving Teacher Quality State Grants,consistency,2468054000.00,724943592.00
84.027,Special Education_Grants to States,consistency,11465960974.00,2774132544.00
84.331,Grants to States for Workplace and Community Transition Training for Incarcerated Individuals,consistency,0.00,84658.00
84.318,Educational Technology State Grants,consistency,0.00,500000.00
84.010,Title I Grants to Local Educational Agencies,consistency,14442926000.00,3573144481.00
84.060,Indian Education_Grants to Local Educational Agencies,timeliness,104122338.00
84.048,Career and Technical Education -- Basic Grants to States,consistency,1105434533.00,331193062.00
84.041,Impact Aid,timeliness,1268776362.00
84.181,Special Education-Grants for Infants and Families,timeliness,438548000.00
84.395,"State Fiscal Stabilization Fund (SFSF) - Race-to-the-Top Incentive Grants, Recovery Act",consistency,698600000.00,
84.374,Teacher Incentive Fund,consistency,399200000.00,85462026.00
84.373,Special Education_Technical Assistance on State Data Collection,consistency,25000000.00,-11135349.00
84.149,Migrant Education_College Assistance Migrant Program,timeliness,16503156.00
84.411,Investing in Innovation (i3) Fund,consistency,149700000.00,
84.141,Migrant Education_High School Equivalency Program,timeliness,19908535.00
84.170,Javits Fellowships,timeliness,9687000.00
84.299,Indian Education -- Special Programs for Indian Children,timeliness,19021880.00
84.116,Fund for the Improvement of Postsecondary Education,consistency,1607000.00,16957861.00
84.329,Special Education_Studies and Evaluations,consistency,11437080.00,
84.324,Research in Special Education,timeliness,53213000.00
84.326,Special Education_Technical Assistance and Dissemination to Improve Services and Results for Children with Disabilities,consistency,48806192.00,21526086.00
84.258,Even Start_Indian Tribes and Tribal Organizations,consistency,0.00,805000.00
84.305,"Education Research, Development and Dissemination",timeliness,165000000.00
84.018,Overseas Programs_Special Bilateral Projects,consistency,2466272.00,
84.215,Fund for the Improvement of Education,consistency,12008934.00,223682116.00
84.214,Even Start_Migrant Education,consistency,0.00,1136592.00
84.191,Adult Education_National Leadership Activities,consistency,11323808.00,1514342.00
84.044,TRIO_Talent Search,timeliness,135969000.00
84.413,Race to the Top,consistency,199500000.00,
84.412,Race to the Top  Early Learning Challenge	,consistency,497293648.00,
84.408,Postsecondary Education Scholarships for Veteran's Dependents,timeliness,293000.00
84.376,National Science and Mathematics Access to Retain Talent (SMART) Grants,consistency,481426867.00,
84.375,Academic Competitiveness Grants,consistency,592066696.00,
84.379,Teacher Education Assistance for College and Higher Education Grants (TEACH Grants),timeliness,136951000.00
84.033,Federal Work-Study Program,timeliness,1168428000.00
84.007,Federal Supplemental Educational Opportunity Grants,timeliness,931633000.00
81.128,Energy Efficiency and Conservation Block Grant Program (EECBG) ,consistency,1049100000.00,9180008.00
81.127,Energy Efficient Appliance Rebate Program (EEARP),consistency,0.00,-14467.00
81.022,Laboratory Equipment Donation Program,consistency,100.00,
81.113,Defense Nuclear Nonproliferation Research,consistency,16988777.00,31642144.00
81.079,Regional Biomass Energy Programs,consistency,0.00,-5770.00
81.136,Long-Term Surveillance and Maintenance,consistency,3527875.00,19894448.00
81.121,"Nuclear Energy Research, Development and Demonstration",consistency,171991000.00,5942109.00
93.569,Community Services Block Grant,completeness,678636410.00
93.568,Low-Income Home Energy Assistance,completeness,4500352646.00
93.566,Refugee and Entrant Assistance_State Administered Programs,completeness,319275000.00
93.563,Child Support Enforcement,completeness,4165538000.00
93.964,Prevention and Public Health Fund (PPHF) Public Health Traineeships,completeness,1436405.00
93.560,Family Support Payments to States_Assistance Payments,consistency,29929794.00,
93.778,Medical Assistance Program,completeness,295836044000.00
93.777,State Survey and Certification of Health Care Providers and Suppliers (Title XVIII) Medicare,completeness,362000000.00
93.991,Preventive Health and Health Services Block Grant,completeness,72994506.00
93.767,Children's Health Insurance Program,completeness,8479294000.00
93.235,Affordable Care Act (ACA) Abstinence Education Program,completeness,37553000.00
93.530,Affordable Care Act - Teaching Health Center Graduate Medical Education Payments Program,completeness,3600000.00
93.255,Children's Hospitals Graduate Medical Education Payment,completeness,268000000.00
93.586,State Court Improvement Program,completeness,32085084.00
93.044,"Special Programs for the Aging_Title III, Part B_Grants for Supportive Services and Senior Centers",consistency,365402129.00,
93.045,"Special Programs for the Aging_Title III, Part C_Nutrition Services",consistency,653192964.00,1187826619.00
93.889,National Bioterrorism Hospital Preparedness Program,completeness,390500000.00
93.645,Stephanie Tubbs Jones Child Welfare Services Program,completeness,281181000.00
93.267,State Grants for Protection and Advocacy Services,completeness,3272375.00
93.671,Family Violence Prevention and Services/Grants for Battered Women's Shelters_Grants to States and Indian Tribes,completeness,103833516.00
93.241,State Rural Hospital Flexibility Program,completeness,25429015.00
93.074,Hospital Preparedness Program (HPP) and Public Health Emergency Preparedness (PHEP) Aligned Cooperative Agreements,consistency,1004110642.00,
93.994,Maternal and Child Health Services Block Grant to the States,completeness,546791548.00
93.714,ARRA  Emergency Contingency Fund for Temporary Assistance for Needy Families (TANF) State Program,completeness,0.00
93.710,ARRA - Community Services Block Grant,consistency,0.00,-20784366.00
93.669,Child Abuse and Neglect State Grants,completeness,26482000.00
93.917,HIV Care Formula Grants,completeness,1204875008.00
93.041,"Special Programs for the Aging_Title VII, Chapter 3_Programs for Prevention of Elder Abuse, Neglect, and Exploitation",consistency,5032634.00,
93.042,"Special Programs for the Aging_Title VII, Chapter 2_Long Term Care Ombudsman Services for Older Individuals",completeness,16749234.00
93.043,"Special Programs for the Aging_Title III, Part D_Disease Prevention and Health Promotion Services",consistency,20983948.00,
93.090,Guardianship Assistance,completeness,37568500.00
93.658,Foster Care_Title IV-E,completeness,4459366000.00
93.705,Aging Home-Delivered Nutrition Services for States,consistency,0.00,-21959.00
93.053,Nutrition Services Incentive Program ,completeness,157733557.00
93.052,"National Family Caregiver Support, Title III, Part E",consistency,152986623.00,
93.603,Adoption Incentive Payments,completeness,39421000.00
93.674,Chafee Foster Care Independence Program,completeness,137900000.00
93.590,Community-Based Child Abuse Prevention Grants,completeness,41606000.00
93.591,Family Violence Prevention and Services/Grants For Battered Women's Shelters_Grants to State Domestic Violence Coalitions,completeness,12747419.00
93.596,Child Care Mandatory and Matching Funds of the Child Care and Development Fund,consistency,2917000000.00,5007988357.00
93.597,Grants to States for Access and Visitation Programs,completeness,10000000.00
93.594,Tribal Work Grants,completeness,7587980.00
93.599,Chafee Education and Training Vouchers Program (ETV),completeness,45260000.00
93.617,Voting Access for Individuals with Disabilities_Grants to States,completeness,12129692.00
93.618,Voting Access for Individuals with Disabilities-Grants for Protection and Advocacy Systems,completeness,5245488.00
93.584,Refugee and Entrant Assistance_Targeted Assistance Grants,completeness,43644000.00
93.556,Promoting Safe and Stable Families,completeness,368014210.00
93.958,Block Grants for Community Mental Health Services,completeness,398935530.00
93.959,Block Grants for Prevention and Treatment of Substance Abuse,completeness,1693519655.00
93.138,Protection and Advocacy for Individuals with Mental Illness,completeness,35581095.00
93.558,Temporary Assistance for Needy Families,completeness,17109308269.00
93.659,Adoption Assistance,completeness,2315462621.00
93.630,Developmental Disabilities Basic Support and Advocacy Grants,completeness,74667000.00
93.124,Nurse Anesthetist Traineeships,completeness,1250000.00
93.643,Children's Justice Grants to States,completeness,17000000.00
93.150,Projects for Assistance in Transition from Homelessness (PATH),completeness,61994000.00
93.796,State Survey Certification of Health Care Providers and Suppliers (Title XIX) Medicaid,consistency,215826290.00,
93.575,Child Care and Development Block Grant,consistency,2223000000.00,5100006.00
93.780,Grants to States for Operation of Qualified High-Risk Pools,completeness,54890000.00
93.667,Social Services Block Grant,completeness,1700000000.00
93.914,HIV Emergency Relief Project Grants,completeness,679074000.00
93.564,Child Support Enforcement Research,consistency,580000000.00,1945845.00
93.965,Coal Miners Respiratory Impairment Treatment Clinics and Services,completeness,7200000.00
93.361,Nursing Research,completeness,110463000.00
93.360,"Biomedical Advanced Research and Development Authority (BARDA), Biodefense Medical Countermeasure Development",completeness,9400000.00
93.211,Telehealth Programs,completeness,10092309.00
93.213,Research and Training in Complementary and Alternative Medicine,completeness,92687000.00
93.212,Chiropractic Demonstration Project Grants,completeness,1675134.00
93.884,Grants for Primary Care Training and Enhancement,completeness,35288558.00
93.178,Nursing Workforce Diversity,completeness,16009000.00
93.172,Human Genome Research,completeness,380917000.00
93.173,Research Related to Deafness and Communication Disorders,completeness,320861000.00
93.779,"Centers for Medicare and Medicaid Services (CMS) Research, Demonstrations and Evaluations",completeness,35428800.00
93.512,Affordable Care Act (ACA) Personal and Home Care Aide State Training Program (PHCAST),completeness,4443463.00
93.510,Affordable Care Act (ACA) Primary Care Residency Expansion Program ,consistency,0.00,-2880000.00
93.511,Affordable Care Act (ACA) Grants to States for Health Insurance Premium Review,completeness,114058000.00
93.514,Affordable Care Act (ACA) Expansion of Physician Assistant Training Program,completeness,0.00
93.839,Blood Diseases and Resources Research,completeness,339542641.00
93.838,Lung Diseases Research,completeness,553099074.00
93.358,Advanced Education Nursing Traineeships,completeness,16000000.00
93.359,"Nurse Education, Practice Quality and Retention Grants",completeness,37505450.00
93.220,Clinical Research Loan Repayment Program for Individuals from Disadvantaged Backgrounds,consistency,64252.00,
93.226,"Research on Healthcare Costs, Quality and Outcomes",completeness,122106075.00
93.087,Enhance Safety of Children Affected by Substance Abuse,completeness,19999663.00
93.165,Grants to States for Loan Repayment Program,consistency,0.00,6929470.00
93.768,Medicaid Infrastructure Grants To Support the Competitive Employment of People with Disabilities,completeness,75238502.00
93.508,"Affordable Care Act (ACA) Tribal Maternal, Infant, and Early Childhood Home Visiting Program",completeness,7500000.00
93.501,Affordable Care Act (ACA) Grants for School-Based Health Center Capital Expenditures ,completeness,94993112.00
93.503,Affordable Care Act (ACA) Nursing Assistant and Home Health Aide Program,completeness,2380692.00
93.502,Affordable Care Act (ACA) Infrastructure to Expand Access to Care,completeness,99943199.00
93.506,ACA Nationwide Program for National and State Background Checks for Direct Patient Access Employees of Long Term Care Facilities and Providers ,completeness,24800000.00
93.982,Mental Health Disaster Assistance and Emergency Mental Health,completeness,12947495.00
93.342,"Health Professions Student Loans, Including Primary Care Loans/Loans for Disadvantaged Students",consistency,8934069.00,
93.187,Undergraduate Scholarship Program for Individuals from Disadvantaged Backgrounds,consistency,2500000.00,
93.237,Special Diabetes Program for Indians_Diabetes Prevention and Treatment  Projects,completeness,135273029.00
93.234,Traumatic Brain Injury State Demonstration Grant Program,completeness,5248134.00
93.233,National Center on Sleep Disorders Research,completeness,57232832.00
93.232,Loan Repayment Program for General Research,consistency,4512471.00,
93.403,ARRA Grants for Training in Primary Care Medicine and Dentistry Training and Enhancement,consistency,0.00,-43581.00
93.407,ARRA - Scholarships for Disadvantaged Students,consistency,0.00,-817.00
93.247,Advanced Nursing Education Grant Program ,completeness,46796000.00
93.301,Small Rural Hospital Improvement Grant Program,completeness,14646154.00
93.419,ARRA - Maternal and Child Health (MCH) Pediatric Research Network Program,completeness,0.00
93.411,ARRA  Equipment to Enhance Training for Health Professionals,consistency,0.00,-293718.00
93.089,Emergency System for Advance Registration of Volunteer Health Professionals,completeness,3853617.00
93.259,Rural Access to Emergency Devices Grant,consistency,248000.00,
93.581,Improving the Capability of Indian Tribal Governments to Regulate Environmental Quality,completeness,2135245.00
93.251,Universal Newborn Hearing Screening,completeness,17359152.00
93.254,Infant Adoption Awareness Training,consistency,0.00,8169346.00
93.257,"Grants for Education, Prevention, and Early Detection of Radiogenic Cancers and Diseases",completeness,1952000.00
93.256,State Health Access Program ,completeness,0.00
93.587,Promote the Survival and Continuing Vitality of Native American Languages,completeness,13212713.00
93.047,"Special Programs for the Aging_Title VI, Part A, Grants to Indian Tribes_Part B, Grants to Native Hawaiians",completeness,27479621.00
93.887,Health Care and Other Facilities,consistency,0.00,-206566.00
93.888,Specially Selected Health Projects,consistency,0.00,-142015.00
93.086,Healthy Marriage Promotion and Responsible Fatherhood Grants,completeness,121000000.00
93.393,Cancer Cause and Prevention Research,completeness,688289000.00
93.394,Cancer Detection and Diagnosis Research,completeness,278457000.00
93.265,Comprehensive Geriatric Education Program(CGEP),completeness,4174431.00
93.266,"Health Systems Strengthening and HIV/AIDS Prevention, Care and Treatment under the President's Emergency Plan for AIDS Relief ",completeness,100000000.00
93.262,Occupational Safety and Health Program,completeness,93217508.00
93.268,Immunization Cooperative Agreements,consistency,4478391000.00,290876485.00
93.067,Global AIDS,completeness,1284453152.00
93.623,Basic Center Grant,completeness,53636512.00
93.721,ARRA - Health Information Technology Professionals in Health Care,completeness,35538632.00
93.715,Recovery Act  Comparative Effectiveness Research - AHRQ,consistency,0.00,-313274.00
93.652,Adoption Opportunities,completeness,39252336.00
93.389,National Center for Research Resources,consistency,0.00,1216980597.00
93.519,Affordable Care Act (ACA)  Consumer Assistance Program Grants,consistency,0.00,26841503.00
93.928,Special Projects of National Significance,completeness,25000000.00
93.273,Alcohol Research Programs,completeness,329544000.00
93.276,Drug-Free Communities Support Program Grants,consistency,238600629.00,86161359.00
93.275,Substance Abuse and Mental Health Services-Access to Recovery,completeness,94738937.00
93.279,Drug Abuse and Addiction Research Programs,completeness,810125000.00
93.351,Research Infrastructure Programs,consistency,277306000.00,
93.867,Vision Research,completeness,562050000.00
93.193,Urban Indian Health Services,consistency,43053000.00,10461012.00
93.547,Affordable Care Act  National Health Service Corps,consistency,227911000.00,
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,completeness,190840872.00
93.224,"Consolidated Health Centers (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, Public Housing Primary Care, and School Based Health Centers)",completeness,2190050793.00
93.228,Indian Health Service_Health Management Development Program,consistency,2586000.00,69067109.00
93.709,ARRA - Early Head Start,consistency,0.00,-249321.00
93.708,ARRA - Head Start,consistency,0.00,-3168922.00
93.879,Medical Library Assistance,completeness,44281000.00
93.703,ARRA  Grants to Health Center Programs,consistency,0.00,450000.00
93.701,Trans-NIH Recovery Act Research Support  ,consistency,0.00,-3767948.00
93.676,Unaccompanied Alien Children Program,completeness,117204000.00
93.670,Child Abuse and Neglect Discretionary Activities,consistency,25689354.00,9115380.00
93.054,"National Family Caregiver Support, Title VI, Part C, Grants To Indian Tribes And Native Hawaiians",completeness,6373027.00
93.551,Abandoned Infants,completeness,11458296.00
93.846,"Arthritis, Musculoskeletal and Skin Diseases Research",completeness,832718000.00
93.847,"Diabetes, Digestive, and Kidney Diseases Extramural Research",completeness,1491769000.00
93.600,Head Start,completeness,7558967000.00
93.601,Child Support Enforcement Demonstrations and Special Projects,consistency,300000.00,540671.00
93.604,Assistance for Torture Victims,completeness,10867000.00
93.605,Family Connection Grants,completeness,15000000.00
93.932,Native Hawaiian Health Systems,completeness,12971000.00
93.933,Demonstration Projects for Indian Health,completeness,14320559.00
93.936,National Institutes of Health Acquired Immunodeficiency Syndrome Research Loan Repayment Program,consistency,233569.00,42514590.00
93.113,Environmental Health,completeness,326968000.00
93.592,Family Violence Prevention and Services/Grants for Battered Women's Shelters_Discretionary Grants,completeness,13402582.00
93.593,Job Opportunities for Low-Income Individuals,completeness,1640709.00
93.595,"Welfare Reform Research, Evaluations and National Studies",consistency,20980992.00,-37369.00
93.598,Services to Victims of a Severe Form of Trafficking,completeness,6299000.00
93.912,"Rural Health Care Services Outreach, Rural Health Network Development and Small Health Care Provider  Quality Improvement Program ",completeness,56025000.00
93.913,Grants to States for Operation of Offices of Rural Health,completeness,9400000.00
93.526,Affordable Care Act (ACA) Grants for Capital Development in Health Centers,completeness,732445627.00
93.612,Native American Programs,completeness,22451281.00
93.616,Mentoring Children of Prisoners,consistency,0.00,-753696.00
93.855,"Allergy, Immunology and Transplantation Research",consistency,614335000.00,2686638037.00
93.853,Extramural Research Programs in the Neurosciences and Neurological Disorders,completeness,1235252000.00
93.859,Biomedical Research and Research Training,completeness,1935737000.00
93.926,Healthy Start Initiative,completeness,98642789.00
93.925,Scholarships for Health Professions Students from Disadvantaged Backgrounds,completeness,45228069.00
93.924,Ryan White HIV/AIDS Dental Reimbursement and Community Based Dental Partnership Grants,completeness,12800230.00
93.104,Comprehensive Community Mental Health Services for Children with Serious Emotional Disturbances (SED),completeness,85262367.00
93.103,Food and Drug Administration_Research,completeness,63248910.00
93.822,Health Careers Opportunity Program,completeness,21234021.00
93.134,Grants to Increase Organ Donations,completeness,10104923.00
93.136,Injury Prevention and Control Research and State and Community Based Programs,completeness,107758688.00
93.557,"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth",completeness,17935058.00
93.007,Public Awareness Campaigns on Embryo Adoption,completeness,2004000.00
93.550,Transitional Living for Homeless Youth,completeness,43902000.00
93.009,Compassion Capital Fund  ,consistency,0.00,-156525.00
93.602,Assets for Independence Demonstration Program,completeness,23971555.00
93.607,Affordable Care Act - Preparedness and Emergency Response Research Centers: A Public Health Systems Approach,completeness,5000000.00
93.310,Trans-NIH Research Support,completeness,543017218.00
93.632,"University Centers for Excellence in Developmental Disabilities Education, Research, and Service",completeness,38865000.00
93.631,Developmental Disabilities Projects of National Significance,completeness,14130000.00
93.837,Cardiovascular Diseases Research,completeness,1437439453.00
93.121,Oral Diseases and Disorders Research,completeness,322197000.00
93.942,"Research, Prevention, and Education Programs on Lyme Disease in the United States",completeness,2004474.00
93.117,"Preventive Medicine and Public Health Residency Training Program, Integrative Medicine Program, and National Coordinating Center for Integrative Medicine",completeness,3408395.00
93.018,Strengthening Public Health Services at the Outreach Offices of the U.S.-Mexico Border Health Commission,completeness,1300000.00
93.110,Maternal and Child Health Federal Consolidated Programs,completeness,129006494.00
93.307,Minority Health and Health Disparities Research ,consistency,467292000.00,178341058.00
93.648,Child Welfare Research Training or Demonstration ,completeness,27153000.00
93.647,Social Services Research and Demonstration,completeness,5754782.00
93.865,Child Health and Human Development Extramural Research,completeness,922629000.00
93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",completeness,70559321.00
93.157,Centers of Excellence,completeness,23431209.00
93.155,Rural Health Research Centers,completeness,8470000.00
93.791,Money Follows the Person Rebalancing Demonstration ,completeness,299322339.00
93.570,Community Services Block Grant_Discretionary Awards,completeness,22953995.00
93.576,Refugee and Entrant Assistance_Discretionary Grants,completeness,75108000.00
93.579,U.S. Repatriation,completeness,1000000.00
93.143,NIEHS Superfund Hazardous Substances_Basic Research and Education,completeness,47921000.00
93.142,NIEHS Hazardous Waste Worker Health and Safety Training,completeness,27113000.00
93.145,AIDS Education and Training Centers,consistency,32499707.00,130585758.00
93.789,Alternatives to Psychiatric Residential Treatment Facilities for Children,completeness,148064895.00
93.441,Indian Self-Determination,timeliness,509600000.00
93.210,Tribal Self-Governance Program: IHS Compacts/Funding Agreements ,completeness,1430200000.00
93.774,Medicare_Supplementary Medical Insurance,consistency,463520000000.00,
93.773,Medicare_Hospital Insurance,consistency,261624000000.00,
93.770,Medicare_Prescription Drug Coverage,consistency,65838000000.00,
93.164,Indian Health Service Educational Loan Repayment,consistency,25286294.00,
93.400,National Health Service Corps Scholarship Program,consistency,43537.00,
93.401,ARRA - National Health Service Corps Loan Repayment ,consistency,56700000.00,
93.529,Pre-existing Condition Insurance Program (PCIP) ,consistency,843963000.00,
93.546,Early Retiree Reinsurance Program,consistency,2966153000.00,
93.288,National Health Service Corps Scholarship Program,consistency,682138.00,
93.285,National Institutes of Health Pediatric Research Loan Repayment Program,consistency,18400000.00,312000.00
93.280,National Institutes of Health Loan Repayment Program for Clinical Researchers,consistency,40000000.00,
93.704,Trans-NIH Recovery Act Loan Repayment Support,consistency,0.00,3835772.00
93.908,Nursing Education Loan Repayment Program ,consistency,57458892.00,
93.162,National Health Service Corps Loan Repayment Program,consistency,24848000.00,
93.308,National Institute on Minority Health and Health Disparities (NIMHD) Extramural Loan Repayment Programs,consistency,24408000.00,
93.209,Contraception and Infertility Research Loan Repayment Program,consistency,1404810.00,
