CFDA number,CFDA Program Title,Failed Metric,CFDA Program Obligation
10.223,Hispanic Serving Institutions Education Grants,consistency,5777305.00
10.226,Secondary and Two-Year Postsecondary Agriculture Education Challenge Grants,consistency,925815.00
10.227,1994 Institutions Research Program,consistency,1434184.00
10.228,Alaska Native Serving and Native Hawaiian Serving Institutions Education Grants,consistency,3067655.00
10.290,Agricultural Market and Economic Research,consistency,2873761.00
10.303,Integrated Programs,consistency,53068294.00
10.305,International Science and Education Grants,consistency,1887558.00
10.306,BIODIESEL,completeness,959585.00
10.307,Organic Agriculture Research and Extension Initiative,completeness,2824688.00
10.308,Resident Instruction Grants for Insular Area Activities,consistency,712282.00
10.309,Specialty Crop Research Initiative,consistency,28440000.00
10.310,Agriculture and Food Research Initiative (AFRI) ,consistency,175778719.00
10.352,Value-Added Producer Grants,consistency,19000000.00
10.417,Very Low-Income Housing Repair Loans and Grants,consistency,30300000.00
10.420,Rural Self-Help Housing Technical Assistance,consistency,38000000.00
10.433,Rural Housing Preservation Grants,consistency,9593704.00
10.443,Outreach and Assistance for Socially Disadvantaged Farmers and Ranchers,consistency,6652800.00
10.444,Direct Housing_Natural Disaster Loans and Grants,consistency,7500.00
10.446,Rural Community Development Initiative,consistency,8259539.00
10.447,The Rural Development (RD) Multi-Family Housing  Revitalization Demonstration Program  (MPR),consistency,126000000.00
10.459,Commodity Partnerships for Small Agricultural Risk Management Education Sessions,consistency,500000.00
10.475,Cooperative Agreements with States for Intrastate Meat and Poultry Inspection,consistency,47446000.00
10.567,Food Distribution Program on Indian Reservations,consistency,88477000.00
10.574,Team Nutrition Grants,consistency,13269000.00
10.576,Senior Farmers Market Nutrition Program,consistency,16200000.00
10.582,Fresh Fruit and Vegetable Program ,consistency,40000000.00
10.675,Urban and Community Forestry Program,consistency,25354000.00
10.681,Wood  Education and Resource  Center (WERC),consistency,1600000.00
10.690,Lake Tahoe Erosion Control Grant Program,consistency,8665148.00
10.760,Water and Waste Disposal Systems for Rural Communities,consistency,427000000.00
10.761,Technical Assistance and Training Grants,consistency,18370500.00
10.762,Solid Waste Management Grants,consistency,3465000.00
10.763,Emergency Community Water Assistance Grants,consistency,6832100.00
10.766,Community Facilities Loans and Grants,consistency,20443499.00
10.769,Rural Business Enterprise Grants,consistency,44223026.00
10.770,Water and Waste Disposal Loans and Grants (Section 306C),consistency,44988400.00
10.771,Rural Cooperative Development Grants,consistency,4900000.00
10.772,Empowerment Zones Program,consistency,10724000.00
10.773,Rural Business Opportunity Grants,consistency,2634610.00
10.783,Rural Business Enterprise Grants - ARRA,consistency,54612299.00
10.854,Rural Economic Development Loans and Grants,consistency,10000000.00
10.855,Distance Learning and Telemedicine Loans and Grants,completeness,30148963.00
10.858,Denali Commmission Grants and Loans,completeness,10000000.00
10.859,Assistance to High Energy Cost Rural Communities,consistency,4687415.00
10.861,Public Television Station Digital Transition Grant Program,consistency,4965000.00
10.862,Household Water Well System Grant Program,consistency,990000.00
10.863,Community Connect Grant Program,completeness,15684046.00
10.864,Grant Program to Establish a Fund for Financing Water and Wastewater Projects,completeness,496500.00
10.923,Emergency Watershed Protection Program,consistency,147393731.00
10.304,Homeland Security_Agricultural,completeness,9437472.00
10.904,Watershed Protection and Flood Prevention,consistency,0.00
10.916,Watershed Rehabilitation Program,consistency,12474354.00
10.448,Rural Development Multi-Family Housing Rural Housing Voucher Demonstration Program,consistency,6300000.00
10.918,Ground and Surface Water Conservation_ Environmental Quality Incentives Program,consistency,0.00
10.962,Cochran Fellowship Program-International Training-Foreign Participant,consistency,1200000.00
10.999,"Long Term Standing Agreements For Storage, Transportation And Lease",consistency,6606532.00
10.055,Direct and Counter-cyclical Payments Program,consistency,5180269955.00
10.072,Wetlands Reserve Program,consistency,149757783.00
10.427,Rural Rental Assistance Payments,consistency,479000000.00
10.551,Supplemental Nutrition Assistance Program,consistency,33616777000.00
10.566,Nutrition Assistance For Puerto Rico,consistency,1622521000.00
10.912,Environmental Quality Incentives Program,consistency,925990053.00
10.913,Farm and Ranch Lands Protection Program,consistency,90520279.00
10.914,Wildlife Habitat Incentive Program,consistency,57106833.00
10.917,Agricultural Management Assistance,consistency,5756087.00
10.920,Grassland Reserve Program,consistency,1810086.00
10.921,Conservation Security Program ,consistency,272461959.00
10.922,Healthy Forests Reserve Program (HFRP),consistency,522865.00
10.051,Commodity Loans and Loan Deficiency Payments,consistency,6035694.00
10.077,Livestock Compensation Program,consistency,0.00
10.084,Dairy Market Loss Assistance Program,consistency,0.00
11.407,Interjurisdictional Fisheries Act of 1986,consistency,3087522.00
11.419,Coastal Zone Management Administration Awards,consistency,87873223.00
11.300,Investments for Public Works and Economic Development Facilities,consistency,169919000.00
11.302,Economic Development_Support for Planning Organizations,consistency,27985293.00
11.303,Economic Development_Technical Assistance,consistency,10783974.00
11.307,Economic Adjustment Assistance,consistency,48051464.00
11.312,Research and Evaluation Program,consistency,856141.00
11.400,Geodetic Surveys and Services (Geodesy and Applications of the National Geodetic Reference System),completeness,10282804.00
11.417,Sea Grant Support,completeness,28802725.00
11.420,Coastal Zone Management Estuarine Research Reserves,consistency,22664549.00
11.426,Financial Assistance for National Centers for Coastal Ocean Science,completeness,1696305.00
11.427,Fisheries Development and Utilization Research and Development Grants and Cooperative Agreements Program,completeness,2423878.00
11.429,Marine Sanctuary Program,completeness,7471346.00
11.430,Undersea Research,completeness,8094963.00
11.431,Climate and Atmospheric Research,completeness,35086473.00
11.433,Marine Fisheries Initiative,completeness,2064592.00
11.434,Cooperative Fishery Statistics,completeness,923500.00
11.435,Southeast Area Monitoring and Assessment Program,consistency,3716304.00
11.436,Columbia River Fisheries Development Program,completeness,12741548.00
11.437,Pacific Fisheries Data Program,completeness,18412514.00
11.438,Pacific Coast Salmon Recovery_Pacific Salmon Treaty Program,completeness,68385751.00
11.439,Marine Mammal Data Program,completeness,9605008.00
11.440,"Environmental Sciences, Applications, Data, and Education",completeness,4453731.00
11.441,Regional Fishery Management Councils,completeness,22928589.00
11.452,Unallied Industry Projects,completeness,9239991.00
11.454,Unallied Management Projects,completeness,115706448.00
11.455,Cooperative Science and Education Program,completeness,1950692.00
11.457,Chesapeake Bay Studies,completeness,7717411.00
11.459,Weather and Air Quality Research,completeness,436269.00
11.462,Hydrologic Research,completeness,634735.00
11.463,Habitat Conservation,consistency,50553994.00
11.467,Meteorologic and Hydrologic Modernization Development,completeness,7348084.00
11.468,Applied Meteorological Research,completeness,12891234.00
11.469,Congressionally Identified Awards and  Projects,completeness,19592419.00
11.472,Unallied Science Program,completeness,15540052.00
11.474,Atlantic Coastal Fisheries Cooperative Management Act,completeness,7037464.00
11.478,Center for Sponsored Coastal Ocean Research_Coastal Ocean Program,completeness,9513702.00
11.481,Educational Partnership Program,completeness,12219165.00
11.550,Public Telecommunications Facilities Planning and Construction,consistency,19456872.00
11.553,Special Projects,completeness,21645000.00
11.554,Low-Power Television and Translator Digital-to-Analog Conversion,consistency,10000000.00
11.555,Public Safety Interoperable Communications Grant Program,consistency,0.00
11.609,Measurement and Engineering Research and Standards,consistency,39043000.00
11.313,Trade Adjustment Assistance for Firms,consistency,14209654.00
11.460,Special Oceanic and Atmospheric Projects,completeness,11485564.00
11.556,TV Converter Box Coupon Program,consistency,429424000.00
11.408,Fishermen's Contingency Fund,consistency,227900.00
12.558,"Department of Defense Impact Aid (Supplement, CWSD, BRAC)",consistency,35000000.00
12.351,Basic  Scientific Research - Combating Weapons of Mass Destruction ,consistency,38000000.00
12.352,Scientific Research - Combating Weapons of Mass Destruction,consistency,1000000.00
12.360,Research on Chemical and Biological Defense,consistency,10000000.00
12.550,National Flagship Language Program Grants To U.S. Institutions Of Higher Education,consistency,12000000.00
12.553,National Flagship Language Program Fellowships,consistency,12000000.00
12.557,Invitational Grants for Military-Connected Schools,consistency,900000.00
12.607,"Community Economic Adjustment Assistance for Establishment, Expansion, Realignment, or Closure of a Military Installation",consistency,45000000.00
12.611,Community Economic Adjustment Planning Assistance for Reductions in Defense Industry Employment,consistency,2000000.00
12.614,Community Economic Adjustment Diversification Planning,consistency,1500000.00
12.615,RESEARCH AND TECHNICAL ASSISTANCE,consistency,1092332.00
12.800,Air Force Defense Research Sciences Program,consistency,365000000.00
12.400,"Military Construction, National Guard",consistency,101700000.00
84.002,Adult Education - Basic Grants to States,consistency,544122000.00
84.010,Title I Grants to Local Educational Agencies,consistency,13898875000.00
84.011,Migrant Education_State Grant Program,consistency,369771000.00
84.013,Title I Program for Neglected and Delinquent Children,consistency,48927046.00
84.027,Special Education_Grants to States,consistency,10947511571.00
84.041,Impact Aid,consistency,1235854000.00
84.048,Career and Technical Education -- Basic Grants to States,consistency,1141988000.00
84.060,Indian Education_Grants to Local Educational Agencies,consistency,96613157.00
84.069,Leveraging Educational Assistance Partnership,consistency,63852000.00
84.126,Rehabilitation Services_Vocational Rehabilitation Grants to States,completeness,2839151000.00
84.161,Rehabilitation Services_Client Assistance Program,consistency,11576000.00
84.169,Independent Living_State Grants,consistency,22193000.00
84.173,Special Education_Preschool Grants,consistency,374099280.00
84.181,Special Education-Grants for Infants and Families,consistency,435653802.00
84.185,Byrd Honors Scholarships,consistency,40283730.00
84.186,Safe and Drug-Free Schools and Communities_State Grants,consistency,294759000.00
84.187,Supported Employment Services for Individuals with Significant Disabilities,consistency,29181000.00
84.196,Education for Homeless Children and Youth,consistency,64067000.00
84.213,Even Start_State Educational Agencies,consistency,66454399.00
84.224,Assistive Technology,consistency,24620000.00
84.243,Tech-Prep Education,consistency,102923000.00
84.287,Twenty-First Century Community Learning Centers,consistency,1081166187.00
84.318,Education Technology State Grants,consistency,267494000.00
84.331,Grants to States for Workplace and Community Transition Training for Incarcerated Individuals,completeness,22372208.00
84.343,Assistive Technology_State Grants for Protection and Advocacy,consistency,4265000.00
84.357,Reading First State Grants,consistency,393000000.00
84.358,Rural Education,consistency,171854322.00
84.365,English Language Acquisition Grants,consistency,649869000.00
84.367,Improving Teacher Quality State Grants,consistency,2935248441.00
84.369,Grants for State Assessments and Related Activities,consistency,408732000.00
84.377,School Improvement Grants,consistency,491265000.00
84.378,College Access Challenge Grant Program,consistency,66000000.00
84.403,Consolidated Grant to the Outlying Areas,consistency,72685490.00
84.177,Rehabilitation Services_Independent Living Services for Older Individuals Who are Blind,consistency,32320000.00
84.240,Program of Protection and Advocacy of Individual Rights,consistency,16201000.00
84.332,Comprehensive School Reform Demonstration,consistency,1605000.00
84.004,Civil Rights Training and Advisory Services,consistency,6989000.00
84.015,National Resource Centers Program for Foreign Language and Area Studies or Foreign Language and International Studies Program and Foreign Language and Area Studies Fellowship Program,consistency,59557652.00
84.016,Undergraduate International Studies and Foreign Language Programs,consistency,4295914.00
84.017,International Research and Studies,consistency,5943200.00
84.018,Overseas Programs_Special Bilateral Projects,consistency,2149000.00
84.019,Overseas Programs - Faculty Research Abroad,consistency,1600000.00
84.021,Overseas Programs - Group Projects Abroad,consistency,4613000.00
84.022,Overseas Programs - Doctoral Dissertation Research Abroad,completeness,4925225.00
84.031,Higher Education_Institutional Aid,consistency,810671193.00
84.040,Impact Aid_Facilities Maintenance,consistency,4864000.00
84.042,TRIO_Student Support Services,consistency,284365000.00
84.044,TRIO_Talent Search,consistency,142744000.00
84.047,TRIO_Upward Bound,consistency,356500000.00
84.051,Career and Technical Education -- National Programs,consistency,7860000.00
84.066,TRIO_Educational Opportunity Centers,consistency,47057000.00
84.083,Women's Educational Equity Act Program,consistency,1846000.00
84.101,Career and Technical Education - Indian Set-aside,consistency,14511000.00
84.103,TRIO Staff Training Program,consistency,4275000.00
84.116,Fund for the Improvement of Postsecondary Education,consistency,120333397.00
84.120,Minority Science and Engineering Improvement,consistency,8577487.00
84.128,Rehabilitation Services_Service Projects,consistency,4713000.00
84.129,Rehabilitation Long-Term Training,consistency,19524000.00
84.132,Centers for Independent Living,consistency,73334000.00
84.133,National Institute on Disability and Rehabilitation Research,consistency,105740861.00
84.141,Migrant Education_High School Equivalency Program,consistency,18226000.00
84.144,Migrant Education_Coordination Program,consistency,10000000.00
84.149,Migrant Education_College Assistance Migrant Program,consistency,15108000.00
84.153,Business and International Education Projects,consistency,4191200.00
84.160,Training Interpreters for Individuals who are Deaf and Individuals who are Deaf-Blind,consistency,2084000.00
84.165,Magnet Schools Assistance,consistency,104826000.00
84.170,Javits Fellowships,consistency,9529558.00
84.184,Safe and Drug-Free Schools and Communities_National Programs,consistency,218632000.00
84.191,Adult Education_National Leadership Activities,consistency,6878000.00
84.200,Graduate Assistance in Areas of National Need,consistency,29541730.00
84.206,Javits Gifted and Talented Students Education Grant Program,consistency,7463000.00
84.214,Even Start_Migrant Education,consistency,2050631.00
84.215,Fund for the Improvement of Education,consistency,486065000.00
84.217,TRIO_McNair Post-Baccalaureate Achievement,consistency,44778000.00
84.220,Centers for International Business Education,consistency,10960000.00
84.229,Language Resource Centers,consistency,4949670.00
84.234,Projects with Industry,consistency,19197000.00
84.235,Rehabilitation Services Demonstration and Training Programs,consistency,10151000.00
84.245,Tribally Controlled Postsecondary Career and Technical Institutions ,consistency,7546000.00
84.246,Rehabilitation Short-Term Training,consistency,750000.00
84.250,Rehabilitation Services_American Indians with Disabilities,consistency,34892000.00
84.256,Freely Associated States_Education Grant Program,consistency,3811000.00
84.258,Even Start_Indian Tribes and Tribal Organizations,consistency,954067.00
84.259,Native Hawaiian Career and Technical Education,consistency,2902000.00
84.263,Rehabilitation Training_Experimental and Innovative Training,consistency,500000.00
84.264,Rehabilitation Training_Continuing Education,consistency,8090000.00
84.265,Rehabilitation Training_State Vocational Rehabilitation Unit In-Service Training,consistency,5664900.00
84.269,Institute for International Public Policy,consistency,1670301.00
84.274,American Overseas Research Centers,consistency,1187122.00
84.275,Rehabilitation Training_General Training,consistency,300000.00
84.282,Charter Schools,consistency,211031000.00
84.283,Comprehensive Centers,consistency,57113000.00
84.286,Ready to Teach,consistency,10700000.00
84.293,Foreign Language Assistance,consistency,25655000.00
84.295,Ready-To-Learn Television,consistency,23831000.00
84.299,Indian Education -- Special Programs for Indian Children,consistency,19060000.00
84.304,Civic Education - Cooperative Education Exchange Program,consistency,11861000.00
84.305,"Education Research, Development and Dissemination",consistency,159696000.00
84.310,Parental Information and Resource Centers,consistency,38908188.00
84.315,Capacity Building for Traditionally Underserved Populations,consistency,2288558.00
84.323,Special Education - State Personnel Development,consistency,22598000.00
84.324,Research in Special Education,consistency,70585000.00
84.325,Special Education - Personnel Development to Improve Services and Results for Children with Disabilities,consistency,88153000.00
84.326,Special Education_Technical Assistance and Dissemination to Improve Services and Results for Children with Disabilities,consistency,48049000.00
84.327,Special Education_Technology and Media Services for Individuals with Disabilities,consistency,39301200.00
84.328,Special Education_Parent Information Centers,consistency,26528000.00
84.329,Special Education_Studies and Evaluations,consistency,9460000.00
84.330,Advanced Placement Program (Advanced Placement Test Fee; Advanced Placement Incentive Program Grants),consistency,43540000.00
84.333,"Demonstration Projects to Support Postsecondary Faculty, Staff, and Administrations in Educating Students with Disabilities",consistency,674894.00
84.334,Gaining Early Awareness and Readiness for Undergraduate Programs,consistency,303423000.00
84.335,Child Care Access Means Parents in School,consistency,15533799.00
84.336,Teacher Quality Enhancement Grants,consistency,33662000.00
84.337,International Education_Technological Innovation and Cooperation for Foreign Information Access,consistency,1700000.00
84.345,Underground Railroad Educational and Cultural Program,consistency,1945410.00
84.350,Transition to Teaching,consistency,43706865.00
84.351,Arts in Education,consistency,37533000.00
84.354,Credit Enhancement for Charter School Facilities,completeness,8300000.00
84.356,Alaska Native Educational Programs,consistency,33314645.00
84.359,Early Reading First,consistency,112549000.00
84.361,Voluntary Public School Choice,consistency,25819000.00
84.362,Native Hawaiian Education,consistency,33314645.00
84.363,School Leadership,consistency,14473650.00
84.364,Literacy through School Libraries,consistency,19144597.00
84.366,Mathematics and Science Partnerships,consistency,178978000.00
84.370,DC School Choice Incentive Program ,consistency,14800000.00
84.371,Striving Readers,consistency,35371080.00
84.372,Statewide Data Systems,consistency,42890000.00
84.373,Special Education_Technical Assistance on State Data Collection,consistency,15000000.00
84.374,Teacher Incentive Fund,consistency,97270470.00
84.380,Special Education -- Olympic Education Programs,consistency,11790000.00
84.381,"Baccalaureate Degrees in Science, Technology, Engineering, Mathematics, and Critical Foreign Languages and Master's Degrees in Science, Technology, Engineering, Mathematics, and Critical Foreign Languages",consistency,978000.00
84.382,Strengthening Minority-Serving Institutions,consistency,25000000.00
84.257,National Institute for Literacy,consistency,3906000.00
84.037,Perkins Loan Cancellations,consistency,64327000.00
84.007,Federal Supplemental Educational Opportunity Grants,consistency,757465000.00
84.375,Academic Competitiveness Grants,consistency,372000000.00
84.376,National Science and Mathematics Access to Retain Talent (SMART) Grants,consistency,221000000.00
84.379,Teacher Education Assistance for College and Higher Education Grants (TEACH Grants),consistency,12942226.00
81.041,State Energy Program,consistency,32139672.00
81.042,Weatherization Assistance for Low-Income Persons,consistency,224438793.00
81.022,Used Energy-Related Laboratory Equipment Grants,consistency,26644329.00
81.036,Inventions and Innovations,consistency,144893.00
81.049,Office of Science Financial Assistance Program,consistency,974311832.00
81.057,University Coal Research,consistency,2305702.00
81.065,Nuclear Waste Disposal Siting,consistency,29000000.00
81.079,Regional Biomass Energy Programs,consistency,75131.00
81.086,Conservation Research and Development,consistency,87535664.00
81.087,Renewable Energy Research and Development,consistency,520145713.00
81.106,"Transport of Transuranic Wastes to the Waste Isolation Pilot Plant: States and Tribal Concerns, Proposed Solutions",consistency,3610000.00
81.108,Epidemiology and Other Health Studies Financial Assistance Program,consistency,18000000.00
81.112,Stewardship Science Grant Program,consistency,94662587.00
81.113,Defense Nuclear Nonproliferation Research,consistency,38715862.00
81.117,"Energy Efficiency and Renewable Energy Information Dissemination, Outreach, Training and Technical Analysis/Assistance",consistency,39682020.00
81.119,State Energy Program Special Projects,consistency,5000000.00
81.121,"Nuclear Energy Research, Development and Demonstration",consistency,125000000.00
81.122,"Electricity Delivery and Energy Reliability, Research, Development and Analysis",consistency,38605751.00
81.123,National Nuclear Security Administration (NNSA) Minority Serving Institutions (MSI) Program,consistency,27623110.00
81.124,Predictive Science Academic Alliance Program,consistency,7500000.00
81.089,Fossil Energy Research and Development,consistency,400000000.00
81.104,Office of Environmental Waste Processing,consistency,26944500.00
93.041,"Special Programs for the Aging_Title VII, Chapter 3_Programs for Prevention of Elder Abuse, Neglect, and Exploitation",consistency,5146000.00
93.042,"Special Programs for the Aging_Title VII, Chapter 2_Long Term Care Ombudsman Services for Older Individuals",consistency,15421261.00
93.043,"Special Programs for the Aging_Title III, Part D_Disease Prevention and Health Promotion Services",consistency,20815881.00
93.044,"Special Programs for the Aging_Title III, Part B_Grants for Supportive Services and Senior Centers",consistency,350595000.00
93.045,"Special Programs for the Aging_Title III, Part C_Nutrition Services",consistency,564399000.00
93.052,"National Family Caregiver Support, Title III, Part E",consistency,151904374.00
93.053,Nutrition Services Incentive Program ,consistency,151894688.00
93.124,Nurse Anesthetist Traineeships,consistency,1250000.00
93.138,Protection and Advocacy for Individuals with Mental Illness,consistency,34182219.00
93.150,Projects for Assistance in Transition from Homelessness (PATH),completeness,50968000.00
93.157,Centers of Excellence,consistency,12036127.00
93.235,Abstinence Education Program,consistency,50000000.00
93.267,State Grants for Protection and Advocacy Services,consistency,2947590.00
93.358,Advanced Education Nursing Traineeships,consistency,16000000.00
93.556,Promoting Safe and Stable Families,consistency,361222000.00
93.558,Temporary Assistance for Needy Families,consistency,18390628000.00
93.560,Family Support Payments to States_Assistance Payments,consistency,35000000.00
93.563,Child Support Enforcement,consistency,4201182000.00
93.566,Refugee and Entrant Assistance_State Administered Programs,consistency,207865000.00
93.568,Low-Income Home Energy Assistance,consistency,617392000.00
93.569,Community Services Block Grant,consistency,653800000.00
93.575,Child Care and Development Block Grant,consistency,2062100000.00
93.584,Refugee and Entrant Assistance_Targeted Assistance Grants,consistency,43731000.00
93.586,State Court Improvement Program,completeness,32089272.00
93.590,Community-Based Child Abuse Prevention Grants,consistency,41689000.00
93.591,Family Violence Prevention and Services/Grants For Battered Women's Shelters_Grants to State Domestic Violence Coalitions,consistency,12255200.00
93.594,Tribal Work Grants,consistency,7633000.00
93.596,Child Care Mandatory and Matching Funds of the Child Care and Development Fund,consistency,2917000000.00
93.599,Chafee Education and Training Vouchers Program (ETV),consistency,45351000.00
93.603,Adoption Incentive Payments,consistency,4323000.00
93.617,Voting Access for Individuals with Disabilities_Grants to States,consistency,12154000.00
93.618,Voting Access for Individuals with Disabilities-Grants for Protection and Advocacy Systems,consistency,5256000.00
93.630,Developmental Disabilities Basic Support and Advocacy Grants,consistency,111506000.00
93.643,Children's Justice Grants to States,consistency,17000000.00
93.645,Child Welfare Services_State Grants,consistency,281744000.00
93.658,Foster Care_Title IV-E,consistency,4581000000.00
93.659,Adoption Assistance,consistency,2156000000.00
93.667,Social Services Block Grant,completeness,1700000000.00
93.669,Child Abuse and Neglect State Grants,consistency,26535000.00
93.671,Family Violence Prevention and Services/Grants for Battered Women's Shelters_Grants to States and Indian Tribes,consistency,98041600.00
93.674,Chafee Foster Care Independence Program,consistency,140000000.00
93.716,ARRA  TEMPORARY ASSISTANCE FOR NEEDY FAMILIES (TANF) SUPPLEMENTAL GRANTS,consistency,319450000.00
93.767,State Children's Insurance Program,consistency,6640000000.00
93.775,State Medicaid Fraud Control Units,consistency,186000000.00
93.777,State Survey and Certification of Health Care Providers and Suppliers,consistency,265204940.00
93.778,Medical Assistance Program,consistency,204052706000.00
93.889,National Bioterrorism Hospital Preparedness Program,consistency,398059000.00
93.917,HIV Care Formula Grants,consistency,1103104015.00
93.958,Block Grants for Community Mental Health Services,completeness,399735453.00
93.959,Block Grants for Prevention and Treatment of Substance Abuse,timeliness,1670791542.00
93.964,Public Health Traineeships,consistency,1258262.00
93.991,Preventive Health and Health Services Block Grant,consistency,91651300.00
93.994,Maternal and Child Health Services Block Grant to the States,consistency,551241460.00
93.264,Nurse Faculty Loan Program (NFLP),consistency,7089668.00
93.003,Public Health and Social Services Emergency Fund,consistency,0.00
93.009,Compassion Capital Fund  ,consistency,52700000.00
93.010,Community-Based Abstinence Education (CBAE) ,consistency,96785000.00
93.019,Technical Assistance and Provision for Foreign Hospitals and Health Organizations,consistency,1285500.00
93.047,"Special Programs for the Aging_Title VI, Part A, Grants to Indian Tribes_Part B, Grants to Native Hawaiians",consistency,26134000.00
93.048,Special Programs for the Aging_Title IV_and Title II_Discretionary Projects,consistency,48618000.00
93.051,Alzheimer's Disease Demonstration Grants to States,consistency,10996505.00
93.054,"National Family Caregiver Support, Title VI, Part C, Grants To Indian Tribes And Native Hawaiians",consistency,6268335.00
93.061,Innovations in Applied Public Health Research,consistency,27000000.00
93.063,Centers for Genomics and Public Health,consistency,700000.00
93.067,Global AIDS,consistency,706323427.00
93.086,Healthy Marriage Promotion and Responsible Fatherhood Grants,consistency,150000000.00
93.087,Enhance the Safety of Children Affected by Parental Methamphetamine or Other Substance Abuse,consistency,35000000.00
93.088,Advancing System Improvements to Support Targets for Healthy People 2010,consistency,4000000.00
93.103,Food and Drug Administration_Research,consistency,36823882.00
93.104,Comprehensive Community Mental Health Services for Children with Serious Emotional Disturbances (SED),completeness,78922182.00
93.113,Environmental Health,consistency,303091000.00
93.117,Grants for Preventive Medicine,consistency,1198894.00
93.118,Acquired Immunodeficiency Syndrome (AIDS) Activity,consistency,3378016.00
93.134,Grants to Increase Organ Donations,consistency,8307395.00
93.136,Injury Prevention and Control Research and State and Community Based Programs,consistency,102000000.00
93.142,NIEHS Hazardous Waste Worker Health and Safety Training,consistency,26906032.00
93.143,NIEHS Superfund Hazardous Substances_Basic Research and Education,consistency,46092440.00
93.145,AIDS Education and Training Centers,consistency,32528024.00
93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",consistency,68578587.00
93.156,"Geriatric Training for Physicians, Dentists and Behavioral/Mental Health Professionals",consistency,6477197.00
93.161,Health Program for Toxic Substances and Disease Registry,consistency,7482096.00
93.165,Grants to States for Loan Repayment Program,consistency,7000000.00
93.173,Research Related to Deafness and Communication Disorders,consistency,394138000.00
93.178,Nursing Workforce Diversity,consistency,15210512.00
93.185,"Immunization Research, Demonstration, Public Information and Education_Training and Clinical Skills Improvement Projects",consistency,9118317.00
93.189,Health Education and Training Centers,consistency,0.00
93.191,Allied Health Special Projects,consistency,1850754.00
93.193,Urban Indian Health Services,consistency,34547000.00
93.197,Childhood Lead Poisoning Prevention Projects_State and Local Childhood Lead Poisoning Prevention and Surveillance of Blood Lead Levels in Children,consistency,28093406.00
