CFDA number,CFDA Program Title,Failed Metric,CFDA Program Obligation
10.457,Commodity Partnerships for Risk Management Education,consistency,4623766.00
10.459,Commodity Partnerships for Small Agricultural Risk Management Education Sessions,consistency,415655.00
10.475,Cooperative Agreements with States for Intrastate Meat and Poultry Inspection,consistency,46500000.00
10.479,Food Safety Cooperative Agreements,consistency,1000000.00
10.567,Food Distribution Program on Indian Reservations,consistency,77533898.00
10.576,Senior Farmers Market Nutrition Program,consistency,16203484.00
10.578,WIC Grants To States (WGS) ,consistency,19198828.00
10.580,Special Nutrition Assistance Program Outreach/Participation Program,consistency,989197.00
10.582,Fresh Fruit and Vegetable Program ,consistency,9036050.00
10.652,Forestry Research,consistency,14000000.00
10.676,Forest Legacy Program,consistency,57107000.00
10.678,Forest Stewardship Program,consistency,40069200.00
10.681,Wood  Education and Resource  Center (WERC),consistency,1700000.00
10.770,Water and Waste Disposal Loans and Grants (Section 306C),consistency,41085000.00
10.771,Rural Cooperative Development Grants,consistency,3586838.00
10.772,Empowerment Zones Program,completeness,11697938.00
10.855,Distance Learning and Telemedicine Loans and Grants,consistency,15000000.00
10.923,Emergency Watershed Protection Program,consistency,213143008.00
10.960,Technical Agricultural Assistance,consistency,7000000.00
10.961,Scientific Cooperation and Research,consistency,830000.00
10.069,Conservation Reserve Program,consistency,1969880000.00
10.603,Emerging Markets Program,consistency,10000000.00
10.605,Quality Samples Program ,consistency,2500000.00
10.918,Ground and Surface Water Conservation_ Environmental Quality Incentives Program,consistency,51000000.00
10.919,Klamath Basin _ Environmental Quality Incentives Program,consistency,6012800.00
10.055,Direct and Counter-cyclical Payments Program,consistency,8123433134.00
10.072,Wetlands Reserve Program,consistency,211006348.00
10.078,Bioenergy Program,consistency,60000000.00
10.427,Rural Rental Assistance Payments,completeness,487000000.00
10.551,Supplemental Nutrition Assistance Program,consistency,30319569235.00
10.566,Nutrition Assistance For Puerto Rico,consistency,1551167000.00
10.912,Environmental Quality Incentives Program,consistency,755010208.00
10.921,Conservation Security Program ,consistency,235960000.00
10.922,Healthy Forests Reserve Program (HFRP),consistency,2476000.00
10.066,Livestock Assistance Program,consistency,326774990.00
10.080,Milk Income Loss Contract Program ,consistency,330000000.00
10.085,Tobacco Transition Payment Program,consistency,952000000.00
10.451,Noninsured Assistance,consistency,327744000.00
11.112,Market Development Cooperator Program,consistency,2000000.00
11.113,ITA Special Projects,consistency,500000.00
11.429,Marine Sanctuary Program,consistency,12071934.00
11.430,Undersea Research,consistency,8000000.00
11.440,"Environmental Sciences, Applications, Data, and Education",consistency,22000000.00
11.445,Hawaii Stock Management Program,consistency,500000.00
11.449,Independent Education and Science Projects and Programs,consistency,10000.00
11.452,Unallied Industry Projects,consistency,14000000.00
11.454,Unallied Management Projects,consistency,12000000.00
11.553,Special Projects,consistency,7855000.00
11.554,Low-Power Television and Translator Digital-to-Analog Conversion,consistency,10000000.00
11.555,Public Safety Interoperable Communications Grant Program,consistency,968385000.00
11.408,Fishermen's Contingency Fund,consistency,175000.00
12.114,Collaborative Research and Development,consistency,6000000.00
12.350,Department of Defense HIV/AIDS Prevention Program,consistency,10000000.00
12.352,Scientific Research - Combating Weapons of Mass Destruction,consistency,500000.00
12.360,Research on Chemical and Biological Defense,consistency,3752500.00
12.420,Military Medical Research and Development,consistency,140000000.00
12.550,National Flagship Language Program Grants To U.S. Institutions Of Higher Education,consistency,12000000.00
12.551,National Security Education Program David L. Boren Scholarships,consistency,2000000.00
12.552,National Security Education Program David L. Boren Fellowships,consistency,2000000.00
12.553,National Flagship Language Program Fellowships,consistency,12000000.00
12.554,English for Heritage Language Speakers Grants to U.S. Institutions of Higher Education,consistency,2000000.00
12.555,English for Heritage Language Speakers Scholarships,consistency,2000000.00
12.610,Community Economic Adjustment Planning Assistance for Joint Land Use Studies,consistency,1200000.00
12.611,Community Economic Adjustment Planning Assistance for Reductions in Defense Industry Employment,consistency,2000000.00
12.614,Community Economic Adjustment Diversification Planning,consistency,1500000.00
12.615,RESEARCH AND TECHNICAL ASSISTANCE,consistency,643287.00
12.901,Mathematical Sciences Grants Program,consistency,3000000.00
12.902,Information Security Grant Program,consistency,2000000.00
84.377,School Improvement Grants,consistency,125000000.00
84.332,Comprehensive School Reform Demonstration,consistency,2352000.00
84.015,National Resource Centers Program for Foreign Language and Area Studies or Foreign Language and International Studies Program and Foreign Language and Area Studies Fellowship Program,consistency,58171463.00
84.016,Undergraduate International Studies and Foreign Language Programs,consistency,4300000.00
84.017,International Research and Studies,consistency,5822840.00
84.042,TRIO_Student Support Services,consistency,271566777.00
84.044,TRIO_Talent Search,consistency,142884182.00
84.047,TRIO_Upward Bound,consistency,314169000.00
84.051,Career and Technical Education -- National Programs,consistency,10000000.00
84.066,TRIO_Educational Opportunity Centers,consistency,47006891.00
84.083,Women's Educational Equity Act Program,consistency,1879000.00
84.101,Career and Technical Education - Indian Set-aside,consistency,14769000.00
84.116,Fund for the Improvement of Postsecondary Education,consistency,21988890.00
84.129,Rehabilitation Long-Term Training,consistency,19267000.00
84.132,Centers for Independent Living,consistency,74638000.00
84.160,Training Interpreters for Individuals who are Deaf and Individuals who are Deaf-Blind,consistency,2093000.00
84.165,Magnet Schools Assistance,consistency,106693000.00
84.191,Adult Education_National Leadership Activities,consistency,9005000.00
84.214,Even Start_Migrant Education,consistency,2378483.00
84.217,TRIO_McNair Post-Baccalaureate Achievement,consistency,45604173.00
84.220,Centers for International Business Education,consistency,10650000.00
84.229,Language Resource Centers,consistency,4893816.00
84.235,Rehabilitation Services Demonstration and Training Programs,consistency,8756000.00
84.245,Tribally Controlled Postsecondary Career and Technical Institutions ,consistency,7366000.00
84.246,Rehabilitation Short-Term Training,consistency,750000.00
84.256,Freely Associated States_Education Grant Program,consistency,3817913.00
84.259,Native Hawaiian Career and Technical Education,consistency,2954000.00
84.265,Rehabilitation Training_State Vocational Rehabilitation Unit In-Service Training,consistency,5766000.00
84.269,Institute for International Public Policy,consistency,1599840.00
84.274,American Overseas Research Centers,consistency,1000000.00
84.275,Rehabilitation Training_General Training,consistency,300000.00
84.282,Charter Schools,consistency,214783000.00
84.283,Comprehensive Centers,consistency,56257000.00
84.286,Ready to Teach,consistency,10890000.00
84.293,Foreign Language Assistance,consistency,23780000.00
84.295,Ready-To-Learn Television,consistency,24255000.00
84.310,Parental Information and Resource Centers,consistency,39600000.00
84.315,Capacity Building for Traditionally Underserved Populations,consistency,2291000.00
84.323,Special Education - State Personnel Development,consistency,50146000.00
84.325,Special Education - Personnel Development to Improve Services and Results for Children with Disabilities,consistency,89720000.00
84.328,Special Education_Parent Information Centers,consistency,25704000.00
84.329,Special Education_Studies and Evaluations,consistency,9900000.00
84.330,Advanced Placement Program (Advanced Placement Test Fee; Advanced Placement Incentive Program Grants),consistency,37026000.00
84.334,Gaining Early Awareness and Readiness for Undergraduate Programs,consistency,303423120.00
84.335,Child Care Access Means Parents in School,consistency,15810300.00
84.337,International Education_Technological Innovation and Cooperation for Foreign Information Access,consistency,1700000.00
84.350,Transition to Teaching,consistency,44484000.00
84.356,Alaska Native Educational Programs,consistency,33907000.00
84.361,Voluntary Public School Choice,consistency,26278000.00
84.370,DC School Choice Incentive Program ,consistency,13860000.00
84.371,Striving Readers,consistency,31870000.00
84.372,Statewide Data Systems,consistency,24552000.00
84.373,Special Education_Technical Assistance on State Data Collection,consistency,14015000000.00
84.257,National Institute for Literacy,consistency,3989000.00
84.037,Perkins Loan Cancellations,consistency,65471000.00
81.065,Nuclear Waste Disposal Siting,consistency,29000000.00
81.106,"Transport of Transuranic Wastes to the Waste Isolation Pilot Plant: States and Tribal Concerns, Proposed Solutions",consistency,5631556.00
81.123,National Nuclear Security Administration (NNSA) Minority Serving Institutions (MSI) Program,consistency,36357377.00
81.114,University Reactor Infrastructure and Education Support,completeness,12131633.00
93.041,"Special Programs for the Aging_Title VII, Chapter 3_Programs for Prevention of Elder Abuse, Neglect, and Exploitation",completeness,5146000.00
93.042,"Special Programs for the Aging_Title VII, Chapter 2_Long Term Care Ombudsman Services for Older Individuals",completeness,14935942.00
93.043,"Special Programs for the Aging_Title III, Part D_Disease Prevention and Health Promotion Services",consistency,21400000.00
93.044,"Special Programs for the Aging_Title III, Part B_Grants for Supportive Services and Senior Centers",consistency,350595000.00
93.045,"Special Programs for the Aging_Title III, Part C_Nutrition Services",completeness,587224000.00
93.052,"National Family Caregiver Support, Title III, Part E",consistency,160428000.00
93.053,Nutrition Services Incentive Program ,completeness,147846000.00
93.124,Nurse Anesthetist Traineeships,completeness,1250000.00
93.150,Projects for Assistance in Transition from Homelessness (PATH),completeness,51873000.00
93.157,Centers of Excellence,completeness,11393370.00
93.235,Abstinence Education Program,completeness,38673246.00
93.267,State Grants for Protection and Advocacy Services,completeness,2970000.00
93.358,Advanced Education Nursing Traineeships,completeness,16000000.00
93.556,Promoting Safe and Stable Families,completeness,381104000.00
93.558,Temporary Assistance for Needy Families,completeness,18304529000.00
93.560,Family Support Payments to States_Assistance Payments,consistency,32808000.00
93.563,Child Support Enforcement,completeness,4395600000.00
93.566,Refugee and Entrant Assistance_State Administered Programs,timeliness,151763000.00
93.568,Low-Income Home Energy Assistance,timeliness,2160093000.00
93.569,Community Services Block Grant,completeness,630414000.00
93.575,Child Care and Development Block Grant,consistency,2051200000.00
93.584,Refugee and Entrant Assistance_Targeted Assistance Grants,completeness,43731000.00
93.586,State Court Improvement Program,completeness,32940300.00
93.590,Community-Based Child Abuse Prevention Grants,completeness,42429000.00
93.591,Family Violence Prevention and Services/Grants For Battered Women's Shelters_Grants to State Domestic Violence Coalitions,consistency,12473100.00
93.594,Tribal Work Grants,completeness,7551000.00
93.596,Child Care Mandatory and Matching Funds of the Child Care and Development Fund,completeness,2902000000.00
93.599,Chafee Education and Training Vouchers Program (ETV),completeness,46110000.00
93.603,Adoption Incentive Payments,completeness,7354000.00
93.617,Voting Access for Individuals with Disabilities_Grants to States,completeness,10890000.00
93.618,Voting Access for Individuals with Disabilities-Grants for Protection and Advocacy Systems,completeness,4830000.00
93.630,Developmental Disabilities Basic Support and Advocacy Grants,completeness,110489000.00
93.643,Children's Justice Grants to States,completeness,17000000.00
93.645,Child Welfare Services_State Grants,completeness,286754000.00
93.658,Foster Care_Title IV-E,completeness,4687672000.00
93.659,Adoption Assistance,completeness,1942289000.00
93.667,Social Services Block Grant,completeness,1700000000.00
93.669,Child Abuse and Neglect State Grants,completeness,27007000.00
93.671,Family Violence Prevention and Services/Grants for Battered Women's Shelters_Grants to States and Indian Tribes,completeness,99784800.00
93.674,Chafee Foster Care Independence Program,completeness,139950011.00
93.767,State Children's Insurance Program,consistency,5940730000.00
93.775,State Medicaid Fraud Control Units,consistency,174800000.00
93.778,Medical Assistance Program,completeness,203499801000.00
93.780,Grants to States for Operation of Qualified High-Risk Pools,completeness,0.00
93.889,National Bioterrorism Hospital Preparedness Program,completeness,415032000.00
93.917,HIV Care Formula Grants,timeliness,1104710500.00
93.959,Block Grants for Prevention and Treatment of Substance Abuse,completeness,1670661450.00
93.964,Public Health Traineeships,completeness,1289740.00
93.991,Preventive Health and Health Services Block Grant,completeness,93327380.00
93.994,Maternal and Child Health Services Block Grant to the States,completeness,561718437.00
93.264,Nurse Faculty Loan Program (NFLP),consistency,4592465.00
93.003,Public Health and Social Services Emergency Fund,timeliness,0.00
93.004,Cooperative Agreements to Improve the Health Status of Minority Populations,completeness,7842317.00
93.007,Public Awareness Campaigns on Embryo Adoption,completeness,1500000.00
93.008,Medical Reserve Corps Small Grant Program,completeness,8350000.00
93.009,Compassion Capital Fund  ,completeness,64300000.00
93.010,Community-Based Abstinence Education (CBAE) ,completeness,97984000.00
93.015,HIV Prevention Programs for Women,completeness,0.00
93.019,Technical Assistance and Provision for Foreign Hospitals and Health Organizations,completeness,0.00
93.047,"Special Programs for the Aging_Title VI, Part A, Grants to Indian Tribes_Part B, Grants to Native Hawaiians",completeness,26134020.00
93.048,Special Programs for the Aging_Title IV_and Title II_Discretionary Projects,completeness,37190699.00
93.051,Alzheimer's Disease Demonstration Grants to States,completeness,11668000.00
93.054,"National Family Caregiver Support, Title VI, Part C, Grants To Indian Tribes And Native Hawaiians",consistency,6241000.00
93.061,Innovations in Applied Public Health Research,completeness,26839324.00
93.063,Centers for Genomics and Public Health,consistency,900000.00
93.067,Global AIDS,completeness,499757780.00
93.086,Healthy Marriage Promotion and Responsible Fatherhood Grants,completeness,150000000.00
93.087,Enhance the Safety of Children Affected by Parental Methamphetamine or Other Substance Abuse,completeness,40000000.00
93.100,Health Disparities in Minority Health,completeness,0.00
93.103,Food and Drug Administration_Research,completeness,24500000.00
93.104,Comprehensive Community Mental Health Services for Children with Serious Emotional Disturbances (SED),completeness,82277923.00
93.105,Bilingual/Bicultural Service Demonstration Grants,completeness,2500000.00
93.111,Adolescent Family Life Research Grants,completeness,1040000.00
93.113,Environmental Health,timeliness,312021779.00
93.117,Grants for Preventive Medicine,completeness,1183673.00
93.118,Acquired Immunodeficiency Syndrome (AIDS) Activity,completeness,2336241.00
93.121,Oral Diseases and Disorders Research,timeliness,288744000.00
93.134,Grants to Increase Organ Donations,completeness,6877205.00
93.136,Injury Prevention and Control Research and State and Community Based Programs,completeness,101846306.00
93.137,Community Programs to Improve  Minority Health Grant Program,consistency,6500000.00
93.140,Intramural Research Training Award,consistency,49428456.00
93.142,NIEHS Hazardous Waste Worker Health and Safety Training,completeness,26906032.00
93.143,NIEHS Superfund Hazardous Substances_Basic Research and Education,completeness,46821724.00
93.145,AIDS Education and Training Centers,consistency,33177624.00
93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",completeness,66778587.00
93.155,Rural Health Research Centers,completeness,4299507.00
93.156,"Geriatric Training for Physicians, Dentists and Behavioral/Mental Health Professionals",completeness,5668968.00
93.161,Health Program for Toxic Substances and Disease Registry,completeness,4168002.00
93.165,Grants to States for Loan Repayment Program,completeness,6965172.00
93.173,Research Related to Deafness and Communication Disorders,timeliness,392937000.00
93.178,Nursing Workforce Diversity,completeness,15194382.00
93.185,"Immunization Research, Demonstration, Public Information and Education_Training and Clinical Skills Improvement Projects",consistency,10008216.00
93.189,Health Education and Training Centers,completeness,0.00
93.191,Allied Health Special Projects,completeness,1802071.00
93.193,Urban Indian Health Services,consistency,33691000.00
93.197,Childhood Lead Poisoning Prevention Projects_State and Local Childhood Lead Poisoning Prevention and Surveillance of Blood Lead Levels in Children,completeness,33700000.00
93.204,Surveillance of Hazardous Substance Emergency Events,completeness,801495.00
93.211,Telehealth Network Grants,completeness,6519209.00
93.212,Chiropractic Demonstration Project Grants,completeness,1802228.00
93.213,Research and Training in Complementary and Alternative Medicine,completeness,85484000.00
93.217,Family Planning_Services,completeness,253643000.00
93.223,Development and Coordination of Rural Health Services,consistency,300000.00
93.224,"Consolidated Health Centers (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, Public Housing Primary Care, and School Based Health Centers)",completeness,1755000000.00
93.225,National Research Service Awards_Health Services Research Training,completeness,7713000.00
93.226,"Research on Healthcare Costs, Quality and Outcomes",completeness,80274536.00
93.228,Indian Health Service_Health Management Development Program,consistency,5430000.00
93.233,National Center on Sleep Disorders Research,completeness,52938299.00
93.234,Traumatic Brain Injury State Demonstration Grant Program,completeness,5403053.00
93.236,Grants for Dental Public Health Residency Training,completeness,2434704.00
93.237,Special Diabetes Program for Indians_Diabetes Prevention and Treatment  Projects,completeness,112300000.00
93.240,State Capacity Building,completeness,10894064.00
93.241,State Rural Hospital Flexibility Program,completeness,22050000.00
93.242,Mental Health Research Grants,timeliness,965030435.00
93.243,Substance Abuse and Mental Health Services_Projects of Regional and National Significance,completeness,480211434.00
93.247,Advanced Education Nursing Grant Program,completeness,35598564.00
93.250,Geriatric Academic Career Awards,consistency,6077342.00
93.253,Poison Control Stabilization and Enhancement Grants,completeness,12174000.00
93.254,Infant Adoption Awareness Training,completeness,12674000.00
93.257,"Grants for Education, Prevention, and Early Detection of Radiogenic Cancers and Diseases",completeness,1558418.00
93.259,Rural Access to Emergency Devices Grant,completeness,1249686.00
93.260,Family Planning_Personnel Training,completeness,7213000.00
93.262,Occupational Safety and Health Program,completeness,144574277.00
93.265,Comprehensive Geriatric Education Program(CGEP),completeness,3206392.00
93.268,Immunization Grants,consistency,2938056654.00
93.271,Alcohol Research Career Development Awards for Scientists and Clinicians,completeness,11781000.00
93.272,Alcohol National Research Service Awards for Research Training,completeness,11284000.00
93.273,Alcohol Research Programs,timeliness,260567000.00
93.275,Substance Abuse and Mental Health Services-Access to Recovery,completeness,103956661.00
93.276,Drug-Free Communities Support Program Grants,completeness,57716982.00
93.279,Drug Abuse and Addiction Research Programs,consistency,37805000.00
93.281,Mental Health Research Career/Scientist Development Awards,completeness,70378962.00
93.296,State Partnership Grant Program to Improve Minority Health ,consistency,4979018.00
93.301,Small Rural Hospital Improvement Grant Program,completeness,14824097.00
93.307,Minority Health and Health Disparities Research ,completeness,135027000.00
93.310,Trans-NIH Research Support,timeliness,353000000.00
93.359,"Nurse Education, Practice and Retention Grants",completeness,36543422.00
93.361,Nursing Research,timeliness,121002000.00
93.389,National Center for Research Resources,timeliness,754519000.00
93.393,Cancer Cause and Prevention Research,timeliness,675336000.00
93.394,Cancer Detection and Diagnosis Research,timeliness,281904000.00
93.395,Cancer Treatment Research,timeliness,560621000.00
93.396,Cancer Biology Research,timeliness,535231000.00
93.397,Cancer Centers Support Grants,completeness,471860000.00
93.398,Cancer Research Manpower,timeliness,179155000.00
93.399,Cancer Control,timeliness,200126000.00
93.443,Health Promotion/Disease Prevention Program for American Indians and Alaska Natives ,completeness,1896611.00
93.550,Transitional Living for Homeless Youth,completeness,41492000.00
93.551,Abandoned Infants,completeness,11835000.00
93.557,"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth",completeness,16142000.00
93.564,Child Support Enforcement Research,completeness,1800000.00
93.570,Community Services Block Grant_Discretionary Awards,timeliness,34315000.00
93.576,Refugee and Entrant Assistance_Discretionary Grants,completeness,72413000.00
93.579,U.S. Repatriation,completeness,900000.00
93.581,Improving the Capability of Indian Tribal Governments to Regulate Environmental Quality,completeness,1200000.00
93.587,Promote the Survival and Continuing Vitality of Native American Languages,completeness,5100000.00
93.592,Family Violence Prevention and Services/Grants for Battered Women's Shelters_Discretionary Grants,consistency,128982000.00
93.593,Job Opportunities for Low-Income Individuals,completeness,5382000.00
93.595,"Welfare Reform Research, Evaluations and National Studies",consistency,194377420.00
93.597,Grants to States for Access and Visitation Programs,completeness,10000000.00
93.598,Services to Victims of a Severe Form of Trafficking,completeness,1817000.00
93.600,Head Start,timeliness,6868444287.00
93.601,Child Support Enforcement Demonstrations and Special Projects,completeness,1556856.00
93.602,Assets for Independence Demonstration Program,completeness,24407000.00
93.604,Assistance for Torture Victims,consistency,954100.00
93.612,Native American Programs,completeness,34000000.00
93.616,Mentoring Children of Prisoners,completeness,57306000.00
93.623,Basic Center Grant,completeness,49201000.00
93.631,Developmental Disabilities Projects of National Significance,completeness,11414000.00
93.632,"University Centers for Excellence in Developmental Disabilities Education, Research, and Service",completeness,33212000.00
93.647,Social Services Research and Demonstration,consistency,194377420.00
93.648,Child Welfare Services Training Grants,completeness,7335000.00
93.652,Adoption Opportunities,completeness,26848000.00
93.670,Child Abuse and Neglect Discretionary Activities,completeness,25780000.00
93.768,Medicaid Infrastructure Grants To Support the Competitive Employment of People with Disabilities,completeness,37074935.00
93.769,Demonstration to Maintain Independence and Employment,completeness,36079635.00
93.779,"Centers for Medicare and Medicaid Services (CMS) Research, Demonstrations and Evaluations",consistency,57316599.00
93.789,Alternatives to Psychiatric Residential Treatment Facilities for Children,completeness,21325721.00
93.790,Alternate Non-Emergency Service Providers or Networks,consistency,12500000.00
93.791,Money Follows the Person Rebalancing Demonstration ,consistency,45935063.00
93.793,Medicaid Transformation Grants,completeness,75000000.00
93.822,Health Careers Opportunity Program,completeness,3957000.00
93.837,Cardiovascular Diseases Research,timeliness,1556459000.00
93.838,Lung Diseases Research,timeliness,582448863.00
93.839,Blood Diseases and Resources Research,timeliness,409262576.00
93.846,"Arthritis, Musculoskeletal and Skin Diseases Research",timeliness,411684000.00
93.853,Extramural Research Programs in the Neurosciences and Neurological Disorders,timeliness,1340542000.00
93.855,"Allergy, Immunology and Transplantation Research",consistency,639228000.00
93.856,Microbiology and Infectious Diseases Research,consistency,2058909000.00
93.859,Biomedical Research and Research Training,timeliness,1857878000.00
93.865,Child Health and Human Development Extramural Research,timeliness,882894000.00
93.866,Aging Research,timeliness,884661000.00
93.867,Vision Research,timeliness,537681000.00
93.879,Medical Library Assistance,completeness,67568000.00
93.884,Grants for Training in Primary Care Medicine and Dentistry,completeness,45711492.00
93.891,Alcohol Research Center Grants,completeness,27276000.00
93.912,Rural Health Care Services Outreach and Rural Health Network Development Program,completeness,25088433.00
93.913,Grants to States for Operation of Offices of Rural Health,completeness,7267000.00
93.914,HIV Emergency Relief Project Grants,timeliness,587425500.00
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,completeness,182260325.00
93.923,Disadvantaged Health Professions Faculty Loan Repayment (FLRP) and Minority Faculty Fellowship Program (MFFP),completeness,108786.00
93.924,Ryan White HIV/AIDS Dental Reimbursements\Community Based Dental Partnership,consistency,12647968.00
93.925,Scholarships for Health Professions Students from Disadvantaged Backgrounds,completeness,44300000.00
93.926,Healthy Start Initiative,completeness,96660615.00
93.928,Special Projects of National Significance,completeness,25000000.00
93.932,Native Hawaiian Health Systems,completeness,12545000.00
93.933,Demonstration Projects for Indian Health,consistency,11959065.00
93.938,Cooperative Agreements to Support Comprehensive School Health Programs to Prevent the Spread of HIV and Other Important Health Problems,completeness,35593000.00
93.939,HIV Prevention Activities_Non-Governmental Organization Based,completeness,80129143.00
93.940,HIV Prevention Activities_Health Department Based,consistency,330987422.00
93.941,"HIV Demonstration, Research, Public and Professional Education Projects",consistency,18838880.00
93.943,Epidemiologic Research Studies of Acquired Immunodeficiency Syndrome (AIDS) and Human Immunodeficiency Virus (HIV) Infection in Selected Population Groups,consistency,4415183.00
93.944,Human Immunodeficiency Virus (HIV)/Acquired Immunodeficiency Virus Syndrome (AIDS) Surveillance,consistency,67774469.00
93.965,Coal Miners Respiratory Impairment Treatment Clinics and Services,completeness,5648496.00
93.969,Geriatric Education Centers,completeness,18515228.00
93.974,Family Planning_Service Delivery Improvement Research Grants,completeness,5456000.00
93.977,Preventive Health Services_Sexually Transmitted Diseases Control Grants,consistency,106670759.00
93.978,"Preventive Health Services_Sexually Transmitted Diseases Research, Demonstrations, and Public Information and Education Grants",completeness,5727536.00
93.982,Mental Health Disaster Assistance and Emergency Mental Health,timeliness,64311860.00
93.989,International Research and Research Training,completeness,50033000.00
93.990,National Health Promotion,consistency,4000000.00
93.995,Adolescent Family Life_Demonstration Projects,completeness,25000000.00
93.996,Bioterrorism Training and Curriculum Development Program,completeness,21000000.00
93.064,"Laboratory Training, Evaluation, and Quality Assurance Programs",completeness,1405000.00
93.065,"Laboratory Leadership, Workforce Training and Management Development, Improving Public Health Laboratory Infrastructure",consistency,11395475.00
93.066,State Vital Statistics Improvement Program,consistency,171500.00
93.068,"Chronic Diseases:  Research, Control, and Prevention  ",completeness,3087105.00
93.069,Public Health Emergency Preparedness,completeness,897166530.00
93.107,Model State-Supported Area Health Education Centers,completeness,15077970.00
93.116,Project Grants and Cooperative Agreements for Tuberculosis Control Programs,completeness,99108876.00
93.123,Health Professions Pregraduate Scholarship Program for Indians,consistency,1364846.00
93.127,Emergency Medical Services for Children,completeness,15418994.00
93.129,Technical and Non-Financial Assistance to Health Centers,completeness,34000000.00
93.130,Cooperative Agreements to States/Territories for the Coordination and Development of Primary Care Offices,completeness,10000000.00
93.135,Centers for Research and Demonstration for Health Promotion and Disease Prevention,completeness,24287000.00
93.164,Indian Health Service Educational Loan Repayment,consistency,16923500.00
93.181,Podiatric Residency Training in Primary Care,completeness,0.00
93.184,Disabilities Prevention,completeness,16729236.00
93.192,Quentin N. Burdick Program for Rural Interdisciplinary Training,completeness,0.00
93.206,Human Health Studies_Applied Research and Development,completeness,155874.00
93.208,Great Lakes Human Health Effects Research,completeness,1019706.00
93.210,Tribal Self-Governance Program: IHS Compacts/Funding Agreements ,completeness,949982000.00
93.230,Consolidated Knowledge Development and Application (KD&A) Program,completeness,23313874.00
93.231,Epidemiology Cooperative Agreements,completeness,5816700.00
93.238,Cooperative Agreements for State Treatment Outcomes and Performance Pilot Studies Enhancement,completeness,0.00
93.249,Public Health Training Centers Grant Program,completeness,4507558.00
93.266,Rapid Expansion of Antiretroviral Therapy Programs for HIV-Infected Persons in Selected Countries in Africa and the Caribbean Under the President's Emergency Plan for AIDS Relief,consistency,196000.00
93.270,Adult Viral Hepatitis Prevention and Control,consistency,8135000.00
93.282,Mental Health National Research Service Awards for Research Training,completeness,49858136.00
93.283,Centers for Disease Control and Prevention_Investigations and Technical Assistance,consistency,122607872.00
93.284,Injury Prevention Program for American Indians and Alaskan Natives_Cooperative Agreements,completeness,1690505.00
93.300,National Center for Health Workforce Analysis,completeness,0.00
93.365,Sickle Cell Treatment Demonstration Program,completeness,1278832.00
93.392,Cancer Construction,completeness,0.00
93.442,Special Diabetes Program for Indians (SDPI) Competitive Grant Program,consistency,23300000.00
