CFDA number,CFDA Program Title,Failed Metric,CFDA Program Obligation
10.863,Community Connect Grant Program,consistency,18806000.00
10.864,Grant Program to Establish a Fund for Financing Water and Wastewater Projects,consistency,49700.00
10.923,Emergency Watershed Protection Program,consistency,318969716.00
10.304,Homeland Security_Agricultural,consistency,9435080.00
10.904,Watershed Protection and Flood Prevention,consistency,34949777.00
10.916,Watershed Rehabilitation Program,consistency,25058977.00
10.088,Livestock Indemnity Program,consistency,292200.00
10.313,Veterinary Medicine Loan Repayment Program ,consistency,2655000.00
10.448,Rural Development Multi-Family Housing Rural Housing Voucher Demonstration Program,consistency,6400000.00
10.682,National Forest Foundation,consistency,3000000.00
10.683,National Fish and Wildlife Foundation,consistency,3000000.00
10.694,Southwest Forest Health and Wildfire Prevention,consistency,2600000.00
10.055,Direct and Counter-cyclical Payments Program,consistency,6292173000.00
10.072,Wetlands Reserve Program,consistency,404942681.00
10.427,Rural Rental Assistance Payments,consistency,902500000.00
10.566,Nutrition Assistance For Puerto Rico,consistency,1677.00
10.912,Environmental Quality Incentives Program,consistency,757388939.00
10.913,Farm and Ranch Lands Protection Program,consistency,112915161.00
10.914,Wildlife Habitat Incentive Program,consistency,52146044.00
10.917,Agricultural Management Assistance,consistency,6181433.00
10.920,Grassland Reserve Program,consistency,41042508.00
10.921,Conservation Security Program ,consistency,246120977.00
10.922,Healthy Forests Reserve Program (HFRP),consistency,1256457.00
10.051,Commodity Loans and Loan Deficiency Payments,consistency,139938000.00
11.407,Interjurisdictional Fisheries Act of 1986,consistency,2500000.00
11.419,Coastal Zone Management Administration Awards,consistency,85476767.00
11.009,TV Converter Box Coupon Program Consumer Education and Technical Assistance,consistency,2500000.00
11.300,Investments for Public Works and Economic Development Facilities,consistency,129280000.00
11.302,Economic Development_Support for Planning Organizations,consistency,30920885.00
11.303,Economic Development_Technical Assistance,consistency,9666027.00
11.307,Economic Adjustment Assistance,consistency,185849918.00
11.312,Research and Evaluation Program,completeness,30000.00
11.400,Geodetic Surveys and Services (Geodesy and Applications of the National Geodetic Reference System),consistency,14435000.00
11.417,Sea Grant Support,consistency,28000000.00
11.420,Coastal Zone Management Estuarine Research Reserves,consistency,28542977.00
11.426,Financial Assistance for National Centers for Coastal Ocean Science,consistency,3787710.00
11.427,Fisheries Development and Utilization Research and Development Grants and Cooperative Agreements Program,consistency,7891800.00
11.429,Marine Sanctuary Program,consistency,8551500.00
11.430,Undersea Research,consistency,8000000.00
11.431,Climate and Atmospheric Research,consistency,35000000.00
11.433,Marine Fisheries Initiative,consistency,2200000.00
11.434,Cooperative Fishery Statistics,consistency,6600000.00
11.435,Southeast Area Monitoring and Assessment Program,consistency,4000000.00
11.436,Columbia River Fisheries Development Program,consistency,14000000.00
11.437,Pacific Fisheries Data Program,consistency,0.00
11.438,Pacific Coast Salmon Recovery_Pacific Salmon Treaty Program,consistency,80000000.00
11.439,Marine Mammal Data Program,consistency,0.00
11.440,"Environmental Sciences, Applications, Data, and Education",consistency,23000000.00
11.441,Regional Fishery Management Councils,consistency,27000000.00
11.444,Hawaii Sustainable Fisheries Development (Aquaculture Program),consistency,750000.00
11.452,Unallied Industry Projects,consistency,0.00
11.455,Cooperative Science and Education Program,consistency,0.00
11.457,Chesapeake Bay Studies,consistency,0.00
11.459,Weather and Air Quality Research,consistency,500000.00
11.462,Hydrologic Research,consistency,1101599.00
11.463,Habitat Conservation,consistency,218291552.00
11.467,Meteorologic and Hydrologic Modernization Development,consistency,14939054.00
11.468,Applied Meteorological Research,consistency,12478103.00
11.469,Congressionally Identified Awards and  Projects,consistency,43951000.00
11.472,Unallied Science Program,consistency,0.00
11.474,Atlantic Coastal Fisheries Cooperative Management Act,consistency,7195300.00
11.478,Center for Sponsored Coastal Ocean Research_Coastal Ocean Program,consistency,12000000.00
11.481,Educational Partnership Program,consistency,14900000.00
11.553,Special Projects,consistency,2500000.00
11.557,Broadband Technology Opportunities Program (BTOP),consistency,892000000.00
11.558,State Broadband Data and Development Grant Program,consistency,170000000.00
11.559,Low-Power Television and Translator Upgrade Program,consistency,41370000.00
11.609,Measurement and Engineering Research and Standards,consistency,118048000.00
11.616,Technology Innovation Program (TIP) ,consistency,10572000.00
11.618,National Institute of Standards and Technology Construction Grant Program ,consistency,90000000.00
11.313,Trade Adjustment Assistance for Firms,consistency,13904052.00
11.432,Office of Oceanic and Atmospheric Research (OAR) Joint and Cooperative Institutes,completeness,122536421.00
11.460,Special Oceanic and Atmospheric Projects,consistency,0.00
11.556,TV Converter Box Coupon Program,consistency,471870000.00
11.408,Fishermen's Contingency Fund,consistency,230000.00
12.558,"Department of Defense Impact Aid (Supplement, CWSD, BRAC)",consistency,34000000.00
12.117,"ARRA Cooperative Agreements, New Mexico",consistency,571610.00
12.118,North Dakota Environmental Infrastructure (Section 594) - ARRA,consistency,17398000.00
12.119,Northern Wisconsin Environmental Infrastructure (Section 154) - ARRA,consistency,1280000.00
12.120,Northeastern Minnesota  Environmental Infrastructure (Section 569) - ARRA,consistency,2655000.00
12.121,"Montana, Nevada, New Mexico, Utah, Idaho, & Wyoming Environmental Infrastructure (Section 595) - ARRA",consistency,40186000.00
12.122,"Title VI - Cheyenne River Sioux Tribe, Lower Brule Sioux Tribe, and Terrestrial Wildlife Habitat Restoration, South Dakota - ARRA",consistency,2129000.00
12.123,South Central Pennsylvania Envrionmental Infrastructure (Section 313) - ARRA,consistency,6550000.00
12.124,Mississippi Environmental Infrastructure (Section 592) - ARRA,consistency,6568733.00
12.556,Competitive Grants: Promoting K-12 Student Achievement at Military-Connected Schools,consistency,41300000.00
12.557,Invitational Grants for Military-Connected Schools,consistency,14500000.00
12.599,Congressionally Directed Assistance,consistency,75000000.00
12.615,RESEARCH AND TECHNICAL ASSISTANCE,consistency,1735619.00
12.630,"Basic, Applied, and Advanced Research in Science and Engineering",consistency,35616000.00
12.631,"Science, Technology, Engineering and Mathematics (STEM) Educational Program: Science, Mathematics And Research for Transformation (SMART)",consistency,32625000.00
12.800,Air Force Defense Research Sciences Program,consistency,365000000.00
12.400,"Military Construction, National Guard",consistency,134500000.00
84.002,Adult Education - Basic Grants to States,consistency,554122000.00
84.010,Title I Grants to Local Educational Agencies,consistency,492401000.00
84.011,Migrant Education_State Grant Program,consistency,394771000.00
84.013,Title I Program for Neglected and Delinquent Children,consistency,50427000.00
84.027,Special Education_Grants to States,consistency,11505211000.00
84.041,Impact Aid,consistency,1260854000.00
84.048,Career and Technical Education -- Basic Grants to States,consistency,1141988000.00
84.060,Indian Education_Grants to Local Educational Agencies,consistency,99331000.00
84.069,Leveraging Educational Assistance Partnership,consistency,63852000.00
84.126,Rehabilitation Services_Vocational Rehabilitation Grants to States,timeliness,2938522000.00
84.161,Rehabilitation Services_Client Assistance Program,consistency,11576000.00
84.169,Independent Living_State Grants,consistency,23450000.00
84.173,Special Education_Preschool Grants,timeliness,374099000.00
84.181,Special Education-Grants for Infants and Families,consistency,439427000.00
84.185,Byrd Honors Scholarships,consistency,40642000.00
84.186,Safe and Drug-Free Schools and Communities_State Grants,consistency,294759000.00
84.187,Supported Employment Services for Individuals with Significant Disabilities,consistency,29181000.00
84.196,Education for Homeless Children and Youth,consistency,65427000.00
84.213,Even Start_State Educational Agencies,consistency,66454399.00
84.224,Assistive Technology,consistency,25660000.00
84.243,Tech-Prep Education,consistency,102923000.00
84.287,Twenty-First Century Community Learning Centers,consistency,1081166000.00
84.318,Education Technology State Grants,consistency,269872000.00
84.331,Grants to States for Workplace and Community Transition Training for Incarcerated Individuals,consistency,17186000.00
84.343,Assistive Technology_State Grants for Protection and Advocacy,timeliness,4300000.00
84.357,Reading First State Grants,consistency,0.00
84.358,Rural Education,consistency,173382000.00
84.365,English Language Acquisition Grants,consistency,673900000.00
84.367,Improving Teacher Quality State Grants,consistency,2947749000.00
84.369,Grants for State Assessments and Related Activities,consistency,408732000.00
84.377,School Improvement Grants,consistency,545633000.00
84.378,College Access Challenge Grant Program,consistency,66000000.00
84.383,Homeless Education Disaster Assistance Program,timeliness,15000000.00
84.386,"Education Technology State Grants, Recovery Act",consistency,650000000.00
84.387," Education for Homeless Children and Youth, Recovery Act",consistency,70000000.00
84.388,"School Improvement Grants, Recovery Act",consistency,3000000000.00
84.389,"Title I Grants to Local Educational Agencies, Recovery Act",consistency,10000000000.00
84.390,"Rehabilitation Services-Vocational Rehabilitation Grants to States, Recovery Act ",consistency,540000000.00
84.391,"Special Education Grants to States, Recovery Act",timeliness,11300000000.00
84.392,"Special Education - Preschool Grants, Recovery Act ",timeliness,400000000.00
84.393,"Special Education - Grants for Infants and Families, Recover Act",consistency,500000000.00
84.394,"State Fiscal Stabilization Fund (SFSF) -  Education State Grants, Recovery Act",consistency,39743348000.00
84.397,"State Fiscal Stabilization Fund (SFSF) - Government Services, Recovery Act",consistency,8842652000.00
84.398,"Independent Living State Grants, Recovery Act ",consistency,18200000.00
84.399,"Independent Living Services for Older Individuals Who are Blind, Recovery Act ",consistency,34300000.00
84.402,"Consolidated Grants to the Outlying Areas, Recovery Act",consistency,39006082.00
84.403,Consolidated Grant to the Outlying Areas,consistency,77611900.00
84.404,"Impact Aid -- School Construction Formula Grants, Recovery Act",consistency,40000000.00
84.177,Rehabilitation Services_Independent Living Services for Older Individuals Who are Blind,consistency,32320000.00
84.240,Program of Protection and Advocacy of Individual Rights,consistency,16201000.00
84.004,Civil Rights Training and Advisory Services,consistency,9489000.00
84.015,National Resource Centers Program for Foreign Language and Area Studies or Foreign Language and International Studies Program and Foreign Language and Area Studies Fellowship Program,consistency,65008000.00
84.016,Undergraduate International Studies and Foreign Language Programs,consistency,4605000.00
84.017,International Research and Studies,consistency,6344000.00
84.018,Overseas Programs_Special Bilateral Projects,consistency,233613.00
84.019,Overseas Programs - Faculty Research Abroad,consistency,1295857.00
84.021,Overseas Programs - Group Projects Abroad,consistency,5867692.00
84.022,Overseas Programs - Doctoral Dissertation Research Abroad,consistency,4667838.00
84.031,Higher Education_Institutional Aid,consistency,577409000.00
84.040,Impact Aid_Facilities Maintenance,consistency,4864000.00
84.042,TRIO_Student Support Services,consistency,297122000.00
84.044,TRIO_Talent Search,consistency,142744000.00
84.047,TRIO_Upward Bound,consistency,362600000.00
84.051,Career and Technical Education -- National Programs,consistency,7860000.00
84.066,TRIO_Educational Opportunity Centers,consistency,46807000.00
84.083,Women's Educational Equity Act Program,consistency,2423000.00
84.101,Career and Technical Education - Indian Set-aside,consistency,14511000.00
84.103,TRIO Staff Training Program,consistency,4275000.00
84.116,Fund for the Improvement of Postsecondary Education,consistency,133667000.00
84.120,Minority Science and Engineering Improvement,consistency,8577000.00
84.128,Rehabilitation Services_Service Projects,consistency,4713000.00
84.129,Rehabilitation Long-Term Training,consistency,19549000.00
84.132,Centers for Independent Living,consistency,77266000.00
84.133,National Institute on Disability and Rehabilitation Research,consistency,107741000.00
84.141,Migrant Education_High School Equivalency Program,consistency,18588360.00
84.144,Migrant Education_Coordination Program,consistency,10000000.00
84.149,Migrant Education_College Assistance Migrant Program,consistency,15408800.00
84.153,Business and International Education Projects,consistency,4592000.00
84.160,Training Interpreters for Individuals who are Deaf and Individuals who are Deaf-Blind,consistency,2084000.00
84.165,Magnet Schools Assistance,consistency,104829000.00
84.170,Javits Fellowships,consistency,9687000.00
84.184,Safe and Drug-Free Schools and Communities_National Programs,consistency,220240000.00
84.191,Adult Education_National Leadership Activities,consistency,6878000.00
84.200,Graduate Assistance in Areas of National Need,consistency,31030000.00
84.206,Javits Gifted and Talented Students Education Grant Program,consistency,7463000.00
84.214,Even Start_Migrant Education,consistency,1993620.00
84.215,Fund for the Improvement of Education,consistency,383908000.00
84.217,TRIO_McNair Post-Baccalaureate Achievement,consistency,47172000.00
84.220,Centers for International Business Education,consistency,11115000.00
84.229,Language Resource Centers,consistency,5025000.00
84.234,Projects with Industry,consistency,19197000.00
84.235,Rehabilitation Services Demonstration and Training Programs,consistency,9594000.00
84.245,Tribally Controlled Postsecondary Career and Technical Institutions ,consistency,7773000.00
84.246,Rehabilitation Short-Term Training,consistency,750000.00
84.250,Rehabilitation Services_American Indians with Disabilities,consistency,36113000.00
84.256,Freely Associated States_Education Grant Program,consistency,5000000.00
84.258,Even Start_Indian Tribes and Tribal Organizations,consistency,996810.00
84.259,Native Hawaiian Career and Technical Education,consistency,2902000.00
84.263,Rehabilitation Training_Experimental and Innovative Training,consistency,500000.00
84.264,Rehabilitation Training_Continuing Education,consistency,8090000.00
84.265,Rehabilitation Training_State Vocational Rehabilitation Unit In-Service Training,consistency,5664900.00
84.269,Institute for International Public Policy,consistency,1837000.00
84.274,American Overseas Research Centers,consistency,1200000.00
84.275,Rehabilitation Training_General Training,consistency,300000.00
84.282,Charter Schools,consistency,236031000.00
84.283,Comprehensive Centers,consistency,57113000.00
84.286,Ready to Teach,consistency,10700000.00
84.293,Foreign Language Assistance,consistency,26328000.00
84.295,Ready-To-Learn Television,consistency,25416000.00
84.299,Indian Education -- Special Programs for Indian Children,consistency,19060000.00
84.304,Civic Education - Cooperative Education Exchange Program,consistency,13383000.00
84.305,"Education Research, Development and Dissemination",consistency,167196000.00
84.310,Parental Information and Resource Centers,consistency,39254000.00
84.315,Capacity Building for Traditionally Underserved Populations,consistency,2353180.00
84.323,Special Education - State Personnel Development,consistency,48000000.00
84.324,Research in Special Education,consistency,70585000.00
84.325,Special Education - Personnel Development to Improve Services and Results for Children with Disabilities,consistency,90653000.00
84.326,Special Education_Technical Assistance and Dissemination to Improve Services and Results for Children with Disabilities,consistency,48549000.00
84.327,Special Education_Technology and Media Services for Individuals with Disabilities,consistency,38615000.00
84.328,Special Education_Parent Information Centers,consistency,27028000.00
84.329,Special Education_Studies and Evaluations,consistency,9460000.00
84.330,Advanced Placement Program (Advanced Placement Test Fee; Advanced Placement Incentive Program Grants),consistency,43540000.00
84.333,"Demonstration Projects to Support Postsecondary Faculty, Staff, and Administrations in Educating Students with Disabilities",consistency,6755000.00
84.334,Gaining Early Awareness and Readiness for Undergraduate Programs,consistency,313212000.00
84.335,Child Care Access Means Parents in School,consistency,16034000.00
84.336,Teacher Quality Enhancement Grants,consistency,50000000.00
84.337,International Education_Technological Innovation and Cooperation for Foreign Information Access,consistency,2400000.00
84.345,Underground Railroad Educational and Cultural Program,consistency,1945000.00
84.350,Transition to Teaching,consistency,43707000.00
84.351,Arts in Education,consistency,38166000.00
84.354,Credit Enhancement for Charter School Facilities,consistency,8300000.00
84.356,Alaska Native Educational Programs,consistency,33313000.00
84.359,Early Reading First,consistency,112549000.00
84.361,Voluntary Public School Choice,consistency,25819000.00
84.362,Native Hawaiian Education,consistency,33315000.00
84.363,School Leadership,consistency,19220000.00
84.364,Literacy through School Libraries,consistency,19145000.00
84.366,Mathematics and Science Partnerships,consistency,178978000.00
84.368,Grants for Enhances Assessment Instruments,consistency,10732000.00
84.370,DC School Choice Incentive Program ,consistency,14000000.00
84.371,Striving Readers,consistency,35371000.00
84.372,Statewide Data Systems,consistency,60000000.00
84.373,Special Education_Technical Assistance on State Data Collection,consistency,15000000.00
84.374,Teacher Incentive Fund,consistency,97270000.00
84.380,Special Education -- Olympic Education Programs,completeness,8095000.00
84.381,"Baccalaureate Degrees in Science, Technology, Engineering, Mathematics, and Critical Foreign Languages and Master's Degrees in Science, Technology, Engineering, Mathematics, and Critical Foreign Languages",consistency,1092000.00
84.382,Strengthening Minority-Serving Institutions,consistency,27500000.00
84.384,"Statewide Data Systems, Recovery Act",consistency,245000000.00
84.396,"State Fiscal Stabilization Fund (SFSF) - What Works and Innovation Fund, Recovery Act",consistency,650000000.00
84.400,"Centers for Independent Living, Recovery Act.",consistency,87500000.00
84.401,"Impact Aid School Construction, Recovery Act",consistency,60000000.00
84.405,"Teacher Quality Partnerships, Recovery Act ",consistency,100000000.00
84.257,National Institute for Literacy,consistency,3906000.00
84.037,Perkins Loan Cancellations,completeness,67164000.00
84.007,Federal Supplemental Educational Opportunity Grants,consistency,757465000.00
84.375,Academic Competitiveness Grants,consistency,554000000.00
84.376,National Science and Mathematics Access to Retain Talent (SMART) Grants,consistency,331000000.00
84.379,Teacher Education Assistance for College and Higher Education Grants (TEACH Grants),consistency,41550652.00
81.041,State Energy Program,consistency,3100000000.00
81.042,Weatherization Assistance for Low-Income Persons,consistency,5151000000.00
81.127,Energy Efficient Appliance Rebate Program (EEARP),completeness,29750800.00
81.128,Energy Efficiency and Conservation Block Grant Program (EECBG) ,consistency,1482910154.00
81.022,Used Energy-Related Laboratory Equipment Grants,consistency,12484629.00
81.049,Office of Science Financial Assistance Program,consistency,1623000000.00
81.057,University Coal Research,consistency,2352382.00
81.065,Nuclear Waste Disposal Siting,consistency,27000000.00
81.079,Regional Biomass Energy Programs,consistency,90000.00
81.086,Conservation Research and Development,consistency,77156068.00
81.087,Renewable Energy Research and Development,consistency,292026610.00
81.105,"National Industrial Competitiveness through Energy, Environment, and Economics",consistency,0.00
81.106,"Transport of Transuranic Wastes to the Waste Isolation Pilot Plant: States and Tribal Concerns, Proposed Solutions",consistency,6124100.00
81.108,Epidemiology and Other Health Studies Financial Assistance Program,consistency,25000000.00
81.112,Stewardship Science Grant Program,consistency,80960000.00
81.113,Defense Nuclear Nonproliferation Research,consistency,25347817.00
81.117,"Energy Efficiency and Renewable Energy Information Dissemination, Outreach, Training and Technical Analysis/Assistance",consistency,24367510.00
81.119,State Energy Program Special Projects,consistency,0.00
81.121,"Nuclear Energy Research, Development and Demonstration",consistency,150000000.00
81.122,"Electricity Delivery and Energy Reliability, Research, Development and Analysis",consistency,112087814.00
81.123,National Nuclear Security Administration (NNSA) Minority Serving Institutions (MSI) Program,consistency,27829360.00
81.124,Predictive Science Academic Alliance Program,consistency,16000000.00
81.129,"Energy Efficiency and Renewable Energy Technology Deployment, Demonstration and Commercialization",consistency,19491478.00
81.133,Geologic Sequestration Training and Research Grant Program,consistency,19900000.00
81.136,Long-Term Surveillance and Maintenance,consistency,3241592.00
81.089,Fossil Energy Research and Development,consistency,450000000.00
81.104,Office of Environmental Waste Processing,consistency,12572000.00
93.041,"Special Programs for the Aging_Title VII, Chapter 3_Programs for Prevention of Elder Abuse, Neglect, and Exploitation",consistency,5146000.00
93.042,"Special Programs for the Aging_Title VII, Chapter 2_Long Term Care Ombudsman Services for Older Individuals",consistency,15421261.00
93.044,"Special Programs for the Aging_Title III, Part B_Grants for Supportive Services and Senior Centers",consistency,351348000.00
93.045,"Special Programs for the Aging_Title III, Part C_Nutrition Services",consistency,648728000.00
93.052,"National Family Caregiver Support, Title III, Part E",consistency,154220000.00
93.053,Nutrition Services Incentive Program ,consistency,153429000.00
93.071,Medicare Enrollment Assistance Program,timeliness,17500000.00
93.124,Nurse Anesthetist Traineeships,timeliness,1250000.00
93.138,Protection and Advocacy for Individuals with Mental Illness,consistency,35162400.00
93.150,Projects for Assistance in Transition from Homelessness (PATH),consistency,57059000.00
93.157,Centers of Excellence,consistency,20602000.00
93.235,Abstinence Education Program,consistency,22949000.00
93.267,State Grants for Protection and Advocacy Services,timeliness,3273589.00
93.358,Advanced Education Nursing Traineeships,consistency,16000000.00
93.405,ARRA - Public Health Traineeship Program,timeliness,2985000.00
93.556,Promoting Safe and Stable Families,consistency,381475117.00
93.558,Temporary Assistance for Needy Families,consistency,17987876000.00
93.560,Family Support Payments to States_Assistance Payments,consistency,32808000.00
93.563,Child Support Enforcement,consistency,4674810064.00
93.566,Refugee and Entrant Assistance_State Administered Programs,consistency,279528000.00
93.568,Low-Income Home Energy Assistance,consistency,4509672000.00
93.569,Community Services Block Grant,consistency,699984000.00
93.575,Child Care and Development Block Grant,consistency,2127081000.00
93.584,Refugee and Entrant Assistance_Targeted Assistance Grants,consistency,43731000.00
93.586,State Court Improvement Program,consistency,32089263.00
93.590,Community-Based Child Abuse Prevention Grants,consistency,41689000.00
93.591,Family Violence Prevention and Services/Grants For Battered Women's Shelters_Grants to State Domestic Violence Coalitions,consistency,12777600.00
93.594,Tribal Work Grants,consistency,7558000.00
93.596,Child Care Mandatory and Matching Funds of the Child Care and Development Fund,consistency,2917000000.00
93.599,Chafee Education and Training Vouchers Program (ETV),consistency,45347487.00
93.603,Adoption Incentive Payments,consistency,36500000.00
93.617,Voting Access for Individuals with Disabilities_Grants to States,consistency,12154000.00
93.618,Voting Access for Individuals with Disabilities-Grants for Protection and Advocacy Systems,consistency,4888100.00
93.630,Developmental Disabilities Basic Support and Advocacy Grants,consistency,74316000.00
93.643,Children's Justice Grants to States,consistency,17000000.00
93.645,Child Welfare Services_State Grants,consistency,281744000.00
93.658,Foster Care_Title IV-E,consistency,4707484000.00
93.659,Adoption Assistance,consistency,2130185000.00
93.667,Social Services Block Grant,consistency,2300000000.00
93.669,Child Abuse and Neglect State Grants,consistency,26535000.00
93.671,Family Violence Prevention and Services/Grants for Battered Women's Shelters_Grants to States and Indian Tribes,consistency,100369010.00
93.674,Chafee Foster Care Independence Program,consistency,139997172.00
93.705, Aging Home-Delivered Nutrition Services for States,timeliness,32000000.00
93.707,Aging Congregate Nutrition Services for States,timeliness,65000000.00
93.710,ARRA - COMMUNITY SERVICES BLOCK GRANT ,consistency,991637000.00
93.713,ARRA  CHILD CARE AND DEVELOPMENT BLOCK GRANT ,timeliness,1995000000.00
93.714,ARRA  EMERGENCY CONTINGENCY FUND FOR TEMPORARY ASSISTANCE FOR NEEDY FAMILIES (TANF) STATE PROGRAMS,timeliness,616695446.00
93.767,State Children's Insurance Program,consistency,5315000000.00
93.775,State Medicaid Fraud Control Units,consistency,195300000.00
93.777,State Survey and Certification of Health Care Providers and Suppliers,consistency,276461602.00
93.778,Medical Assistance Program,consistency,264100328000.00
93.780,Grants to States for Operation of Qualified High-Risk Pools,timeliness,75000000.00
93.889,National Bioterrorism Hospital Preparedness Program,consistency,362017984.00
93.917,HIV Care Formula Grants,consistency,1195563986.00
